Step Volume Temp Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long
1357800.00 48031.5352 202.058716 2681.47119 2466.41309 1987.13257 6331.89111 1938.62292 -28.7042599 -8.08784199 268.393524 -191.179581
1358000.00 48031.5352 202.972733 3016.80518 2477.56982 1950.76819 6541.58203 1909.02039 -35.0941505 -8.08784199 268.245209 -191.403320
1358200.00 48031.5352 201.232620 3092.00439 2456.32935 1927.41821 6549.66797 1869.97131 -20.9367599 -8.08784199 269.540436 -191.156738
1358400.00 48031.5352 204.815109 3377.80249 2500.05859 1958.33228 6824.50977 1901.83215 -21.8110352 -8.08784199 269.388428 -191.077164
1358600.00 48031.5352 199.681366 3890.16675 2437.39404 1992.70422 7155.12354 1924.27722 -9.22819901 -8.08784199 268.742645 -191.087418
1358800.00 48031.5352 196.596603 3283.52539 2399.74023 1983.93298 6683.75195 1925.76379 -20.0287533 -8.08784199 269.204315 -191.006393
1359000.00 48031.5352 199.837265 2890.63086 2439.29688 2036.12488 6500.28174 1977.78076 -20.1432838 -8.08784199 269.304504 -190.817154
1359200.00 48031.5352 200.384262 2617.09644 2445.97388 1994.62183 6273.84717 1934.17407 -18.0627460 -8.08784199 269.336945 -190.826416
1359400.00 48031.5352 200.880661 2646.71899 2452.03320 1956.78015 6262.81543 1904.59460 -25.5318356 -8.08784199 268.708649 -190.991333
1359600.00 48031.5352 200.194916 2383.25464 2443.66260 1998.38416 6111.49463 1954.14917 -33.1249084 -8.08784199 268.477600 -191.117798
1359800.00 48031.5352 202.465805 2658.08057 2471.38208 1990.69849 6324.04150 1920.54150 -7.57222891 -8.08784199 268.925446 -191.196213
1360000.00 48031.5352 194.221863 2644.99048 2370.75317 1997.65686 6221.20117 1943.85437 -24.0656528 -8.08784199 269.076996 -191.208954
1360200.00 48031.5352 200.752167 3078.72070 2450.46484 2015.64624 6622.72607 1954.61804 -16.0501213 -8.08784199 268.437469 -191.359085
1360400.00 48031.5352 200.421036 3073.14600 2446.42261 1995.29126 6594.42432 1938.36743 -21.2503586 -8.08784199 269.434875 -191.260544
1360600.00 48031.5352 197.769653 2476.71289 2414.05908 1981.92456 6130.89746 1932.34155 -28.0140953 -8.08784199 268.904480 -191.307495
1360800.00 48031.5352 202.307449 1956.37891 2469.44922 2045.79114 5885.66553 1998.86438 -30.9174728 -8.08784199 268.995270 -191.151047
1361000.00 48031.5352 198.777908 2568.50708 2426.36621 2004.20496 6229.78613 1953.96338 -27.5662708 -8.08784199 269.017120 -191.209274
1361200.00 48031.5352 199.026779 2144.01343 2429.40405 1982.09473 5913.35986 1937.05408 -33.2614517 -8.08784199 269.433594 -191.131577
1361400.00 48031.5352 202.589584 2836.13379 2472.89307 2021.88550 6481.46387 1963.34546 -20.1202297 -8.08784199 269.736572 -191.076172
1361600.00 48031.5352 202.396469 3374.82837 2470.53589 1973.34253 6807.91406 1913.92725 -19.5075397 -8.08784199 269.759613 -190.836914
1361800.00 48031.5352 199.814163 2905.16162 2439.01514 1948.67761 6422.73096 1897.56873 -27.3900013 -8.08784199 269.429779 -190.930908
1362000.00 48031.5352 198.389923 3937.55396 2421.63013 2036.05310 7215.90332 1963.04724 -5.25855732 -8.08784199 269.421936 -191.157425
1362200.00 48031.5352 200.240677 3879.67114 2444.22119 1999.93811 7161.83301 1937.00549 -14.2538662 -8.08784199 268.563568 -191.377075
1362400.00 48031.5352 200.722916 3599.27075 2450.10767 1926.00854 6897.37158 1879.72644 -31.3301563 -8.08784199 268.977570 -191.365387
1362600.00 48031.5352 200.145462 2910.27905 2443.05908 2010.05444 6491.73682 1941.80505 -9.74726295 -8.08784199 269.235291 -191.238678
1362800.00 48031.5352 201.666077 3265.34717 2461.62036 1981.67371 6730.63916 1914.90002 -11.0561409 -8.08784199 269.101532 -191.271683
1363000.00 48031.5352 200.448288 3781.18091 2446.75562 1938.28552 7033.72266 1887.98828 -27.9085865 -8.08784199 269.383392 -191.177673
1363200.00 48031.5352 206.196701 3735.46338 2516.92285 1969.40051 7102.98047 1921.87085 -30.7714996 -8.08784199 269.576447 -191.275223
1363400.00 48031.5352 200.550613 3535.13477 2448.00439 1967.62146 6891.95459 1910.26660 -20.9783211 -8.08784199 269.643951 -191.310883
1363600.00 48031.5352 199.172501 3640.85864 2431.18262 1979.40649 6960.97656 1929.14246 -27.6528893 -8.08784199 269.141510 -191.224670
1363800.00 48031.5352 205.102127 3445.16187 2503.56201 2025.13843 6942.00391 1965.54993 -18.5532913 -8.08784199 269.217407 -191.075546
1364000.00 48031.5352 202.575073 3077.08130 2472.71582 1994.27966 6622.46240 1935.08679 -18.7968483 -8.08784199 269.122650 -191.132919
1364200.00 48031.5352 199.581711 3253.06299 2436.17749 1966.08337 6681.00146 1912.28247 -23.8537712 -8.08784199 268.894501 -191.239853
1364400.00 48031.5352 198.010941 3313.07495 2417.00415 1962.21008 6699.99219 1903.17615 -19.3875065 -8.08784199 269.572754 -191.151367
1364600.00 48031.5352 201.916550 3113.61108 2464.67773 1970.89990 6616.63281 1898.46973 -6.30780649 -8.08784199 269.698151 -190.960159
1364800.00 48031.5352 200.658676 3861.98291 2449.32349 1982.73901 7137.34521 1915.58936 -11.3282080 -8.08784199 269.347321 -190.869461
1365000.00 48031.5352 198.914948 4193.95361 2428.03882 1949.29114 7315.15527 1888.97498 -18.9640045 -8.08784199 270.159424 -190.879364
1365200.00 48031.5352 199.624237 4298.25977 2436.69653 1998.38440 7445.97168 1932.88635 -13.7149429 -8.08784199 270.022919 -190.809982
1365400.00 48031.5352 198.731125 4432.86914 2425.79492 1966.86914 7497.84766 1908.84497 -21.4962292 -8.08784199 270.267395 -190.746994
1365600.00 48031.5352 196.572464 4128.62158 2399.44556 1968.32605 7259.83252 1919.80994 -30.3278332 -8.08784199 269.635742 -190.791687
1365800.00 48031.5352 202.197083 3350.77466 2468.10205 1965.18896 6780.47754 1908.88745 -22.5190525 -8.08784199 269.800629 -190.980026
1366000.00 48031.5352 197.499100 2584.64062 2410.75635 1961.52209 6182.79492 1906.61365 -23.5725861 -8.08784199 269.575562 -191.094543
1366200.00 48031.5352 196.894135 3402.71606 2403.37207 1996.02612 6782.96924 1937.84802 -19.9975014 -8.08784199 269.191162 -191.015533
