Step Volume Temp Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long
1750200.00 49848.0703 198.851562 3406.51929 2427.26514 1959.62415 6863.37109 1902.20190 -20.7630024 -7.79310942 268.929413 -190.744156
1750400.00 49848.0703 200.366531 2035.60510 2445.75757 1969.34033 5894.94824 1903.11340 -11.8615942 -7.79310942 268.765381 -190.676971
1750600.00 49848.0703 195.922455 1572.08691 2391.51123 1948.67456 5483.06592 1915.35156 -44.4900665 -7.79310942 268.369537 -190.556534
1750800.00 49848.0703 201.395782 2675.93091 2458.32104 1923.75854 6327.43604 1885.92029 -40.2056961 -7.79310942 268.479767 -190.435715
1751000.00 49848.0703 202.900940 3093.69189 2476.69360 1944.24841 6670.00342 1897.02014 -30.4972725 -7.79310942 268.288208 -190.562775
1751200.00 49848.0703 201.284607 2766.28589 2456.96411 1885.55701 6353.56396 1842.27612 -33.9893951 -7.79310942 268.015167 -190.744873
1751400.00 49848.0703 200.126266 2777.15503 2442.82471 1934.88940 6396.65869 1892.51819 -34.8423500 -7.79310942 268.144592 -190.931030
1751600.00 49848.0703 199.727295 3702.40674 2437.95483 1987.57239 7117.11426 1930.80334 -21.5539894 -7.79310942 268.957428 -190.634247
1751800.00 49848.0703 205.554153 3225.78345 2509.07983 1980.31470 6834.48389 1938.09766 -36.1333160 -7.79310942 269.038391 -190.688095
1752000.00 49848.0703 197.330154 2771.68555 2408.69434 1952.05664 6375.71924 1899.24341 -25.0202503 -7.79310942 268.460052 -190.626602
1752200.00 49848.0703 203.685471 2704.76685 2486.26978 1918.17346 6370.76270 1868.56812 -28.0832939 -7.79310942 268.217651 -190.528915
1752400.00 49848.0703 201.273438 3253.68359 2456.82739 1965.72266 6787.92285 1921.30896 -34.1768074 -7.79310942 269.000885 -190.410385
1752600.00 49848.0703 199.467865 3845.58081 2434.78809 1923.56409 7154.02393 1872.92090 -28.3157997 -7.79310942 269.267181 -190.308105
1752800.00 49848.0703 201.241089 3484.36743 2456.43262 1980.02551 6969.53418 1945.37988 -44.4298134 -7.79310942 269.295685 -190.220291
1753000.00 49848.0703 197.642105 3509.83472 2412.50195 1910.58569 6874.67773 1877.95178 -46.6705666 -7.79310942 269.233185 -189.928711
1753200.00 49848.0703 199.238678 3814.55713 2431.99048 1952.98364 7158.09229 1910.98865 -36.6401825 -7.79310942 268.762085 -190.126984
1753400.00 49848.0703 201.823868 2624.57520 2463.54639 1945.28491 6316.85303 1912.52441 -45.7427635 -7.79310942 268.712891 -190.209625
1753600.00 49848.0703 194.283722 2343.21875 2371.50806 1914.72998 5989.71826 1859.00830 -22.3282700 -7.79310942 268.421692 -190.371674
1753800.00 49848.0703 199.554214 3222.44458 2435.84204 1938.97876 6717.48340 1910.56665 -49.6098518 -7.79310942 268.553802 -190.531754
1754000.00 49848.0703 202.288071 3878.97266 2469.21240 1951.95398 7241.11377 1906.99304 -32.8600006 -7.79310942 268.376068 -190.555008
1754200.00 49848.0703 199.155411 2894.07642 2430.97412 1934.71216 6469.63037 1893.35181 -36.6915779 -7.79310942 268.656769 -190.604904
1754400.00 49848.0703 197.631348 2874.25854 2412.37061 1958.86377 6460.77148 1903.56665 -22.9570255 -7.79310942 268.730530 -190.476456
1754600.00 49848.0703 201.222717 2515.16382 2456.20850 1980.38464 6265.07422 1926.19250 -24.3275127 -7.79310942 269.032227 -190.512512
1754800.00 49848.0703 196.568893 2358.16797 2399.40186 1967.69556 6081.44531 1924.08948 -34.9208221 -7.79310942 269.094055 -190.567184
1755000.00 49848.0703 198.231277 2552.08179 2419.69360 1921.28601 6196.29980 1885.21716 -41.1769066 -7.79310942 268.131287 -190.885620
1755200.00 49848.0703 199.831985 2761.74487 2439.23242 1961.93115 6408.90527 1921.84973 -36.9839439 -7.79310942 267.933960 -190.868561
1755400.00 49848.0703 200.342987 2868.61035 2445.46997 1932.23889 6463.14014 1869.47485 -14.7245121 -7.79310942 268.212982 -190.724457
1755600.00 49848.0703 204.361786 2590.63770 2494.52515 1965.90552 6343.78027 1927.73181 -39.1468582 -7.79310942 267.983856 -190.663361
1755800.00 49848.0703 197.152893 2713.18628 2406.53052 1953.21155 6332.18213 1898.61011 -23.6407146 -7.79310942 268.991943 -190.749756
1756000.00 49848.0703 200.131454 1980.85742 2442.88794 1945.16602 5828.10352 1916.27881 -48.9541092 -7.79310942 268.713379 -190.872086
1756200.00 49848.0703 200.774582 2238.22632 2450.73828 1970.87695 6048.76758 1918.04138 -24.9090481 -7.79310942 268.832031 -191.087341
1756400.00 49848.0703 202.186127 2837.58569 2467.96802 1937.52576 6468.37012 1890.86755 -31.6252270 -7.79310942 269.200562 -190.917267
1756600.00 49848.0703 200.407425 4044.00439 2446.25659 1930.05066 7316.22998 1886.52686 -34.8050499 -7.79310942 268.940765 -190.611954
1756800.00 49848.0703 200.695602 3656.07593 2449.77441 2000.15930 7107.83838 1956.85889 -34.6060333 -7.79310942 268.477966 -190.571564
1757000.00 49848.0703 193.571426 3404.86694 2362.81348 1957.16833 6795.26221 1908.54260 -29.7043896 -7.79310942 268.696350 -190.366287
1757200.00 49848.0703 199.888016 3176.35669 2439.91650 1982.08789 6731.16162 1938.52551 -34.3474274 -7.79310942 268.380585 -190.470703
1757400.00 49848.0703 201.120804 3425.50781 2454.96460 1918.67505 6863.92529 1872.29797 -32.1971512 -7.79310942 268.813965 -190.239716
1757600.00 49848.0703 201.535522 3262.02686 2460.02686 1925.05481 6756.51953 1882.59717 -36.3164597 -7.79310942 268.843903 -190.069839
1757800.00 49848.0703 201.093460 3047.91357 2454.63062 1988.58008 6658.99219 1934.75330 -25.1020145 -7.79310942 268.966034 -190.037262
1758000.00 49848.0703 198.348282 3750.28418 2421.12183 1942.24854 7089.76318 1894.32397 -30.5640507 -7.79310942 268.613037 -190.124496
1758200.00 49848.0703 199.418930 4062.94824 2434.19067 1945.33997 7333.22510 1890.00586 -23.2094212 -7.79310942 268.855316 -190.311798
1758400.00 49848.0703 204.178802 3749.17871 2492.29175 1981.72070 7199.60156 1925.91370 -22.2914066 -7.79310942 268.466858 -190.368423
1758600.00 49848.0703 197.403839 3771.34521 2409.59375 1965.61169 7116.90918 1907.68689 -20.5272923 -7.79310942 268.947876 -190.495804
1758800.00 49848.0703 203.445084 3191.22583 2483.33569 1900.44836 6703.75098 1851.86914 -29.2888489 -7.79310942 268.703308 -190.835266
1759000.00 49848.0703 203.854416 2729.07593 2488.33179 1997.24304 6469.56689 1946.66357 -27.7498016 -7.79310942 269.008545 -190.679321
1759200.00 49848.0703 202.346344 2782.62109 2469.92383 1917.37329 6410.21533 1874.89612 -35.4128418 -7.79310942 268.570587 -190.680603
1759400.00 49848.0703 198.871429 3499.57422 2427.50757 1975.24866 6946.88721 1924.91675 -28.2468262 -7.79310942 269.289368 -190.710617
1759600.00 49848.0703 201.631317 3928.04541 2461.19580 1963.71448 7280.53271 1913.12793 -28.0167866 -7.79310942 269.058411 -190.455093
1759800.00 49848.0703 200.612076 3144.81860 2448.75464 1914.68445 6649.66895 1887.65906 -50.9589157 -7.79310942 268.479645 -190.495316
1760000.00 49848.0703 197.081375 2924.45776 2405.65771 2016.09827 6547.78711 1965.55432 -27.8379517 -7.79310942 269.068726 -190.686813
