Step Volume Temp Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long
1800200.00 50078.2852 203.524857 3455.83667 2484.30908 2000.88013 7009.12646 1959.57300 -36.7804604 -7.75728369 268.382629 -190.295044
1800400.00 50078.2852 201.184814 3242.79712 2455.74561 1943.70862 6767.80029 1900.26794 -34.8369637 -7.75728369 268.656219 -190.378571
1800600.00 50078.2852 200.937515 2218.52515 2452.72705 1995.57581 6068.58154 1958.22546 -40.8878021 -7.75728369 268.638672 -190.400467
1800800.00 50078.2852 201.499695 1044.29639 2459.58936 2020.64001 5242.92139 1985.07874 -42.2823753 -7.75728369 268.606384 -190.762802
1801000.00 50078.2852 199.664825 1816.50745 2437.19214 1968.71240 5732.57324 1922.64783 -31.3206387 -7.75728369 268.394653 -191.009415
1801200.00 50078.2852 203.261246 2339.74048 2481.09155 1943.22961 6133.12842 1903.51843 -37.4181137 -7.75728369 268.176239 -191.046951
1801400.00 50078.2852 199.860153 2294.27319 2439.57642 1970.69385 6085.87061 1936.85168 -43.1676369 -7.75728369 267.953979 -190.944244
1801600.00 50078.2852 198.190125 2808.81958 2419.19141 1948.20959 6418.79541 1919.86719 -49.2681465 -7.75728369 268.327759 -190.717163
1801800.00 50078.2852 203.614426 3481.73145 2485.40259 1973.33887 7001.59082 1940.72095 -44.7505112 -7.75728369 268.248291 -190.879837
1802000.00 50078.2852 198.531174 3855.71069 2423.35449 1957.69519 7197.03076 1921.09778 -40.8676071 -7.75728369 268.410797 -190.945755
1802200.00 50078.2852 194.852463 2979.81055 2378.45044 1998.87939 6553.60596 1965.33008 -43.9687424 -7.75728369 268.426666 -190.908661
1802400.00 50078.2852 203.377335 3228.12720 2482.50854 1983.96313 6824.10352 1935.34924 -29.5555325 -7.75728369 268.910370 -190.740967
1802600.00 50078.2852 197.970490 3399.07349 2416.51025 1951.02478 6850.01611 1893.90430 -20.8393173 -7.75728369 268.711487 -190.751740
1802800.00 50078.2852 199.936905 2747.52441 2440.51318 1970.95642 6418.09766 1940.22559 -47.2203178 -7.75728369 268.618286 -190.667175
1803000.00 50078.2852 199.257355 2780.31348 2432.21851 1995.13428 6457.92822 1956.75806 -39.3208084 -7.75728369 268.383575 -190.686554
1803200.00 50078.2852 202.179565 2952.83130 2467.88818 1935.03003 6559.49023 1906.86450 -49.6131783 -7.75728369 268.497314 -190.718643
1803400.00 50078.2852 197.136078 3199.28857 2406.32520 1968.89966 6711.79492 1930.25623 -39.2818642 -7.75728369 268.705109 -190.779800
1803600.00 50078.2852 203.332336 2340.50366 2481.95923 1985.73767 6177.06152 1956.85083 -48.4278793 -7.75728369 268.183411 -190.868683
1803800.00 50078.2852 195.809387 2142.17627 2390.13110 1974.56140 5929.21045 1931.50244 -34.0716743 -7.75728369 268.167816 -191.037216
1804000.00 50078.2852 201.998657 2789.13550 2465.67969 1946.47253 6449.17090 1914.72009 -44.8358955 -7.75728369 267.627838 -191.039566
1804200.00 50078.2852 204.506424 2676.73901 2496.29053 1975.77734 6426.99854 1935.53735 -37.2628098 -7.75728369 268.473022 -190.970154
1804400.00 50078.2852 196.465256 2356.23438 2398.13696 1976.96045 6095.95068 1942.65869 -43.2172470 -7.75728369 268.425659 -190.906631
1804600.00 50078.2852 202.970764 2641.30054 2477.54590 1940.22949 6346.82422 1915.53345 -53.1144753 -7.75728369 268.474121 -190.663574
1804800.00 50078.2852 198.852219 3287.19360 2427.27319 2010.91199 6838.95557 1970.73145 -38.0677948 -7.75728369 268.715576 -190.467163
1805000.00 50078.2852 201.887497 2854.62744 2464.32300 1935.56079 6484.73340 1907.30615 -49.9461784 -7.75728369 268.673431 -190.472717
1805200.00 50078.2852 198.808853 2312.63965 2426.74390 1973.64258 6089.40039 1939.50647 -43.8076935 -7.75728369 268.594330 -190.650558
1805400.00 50078.2852 203.678879 3075.90039 2486.18945 1998.54297 6731.18701 1963.68750 -42.8357925 -7.75728369 268.144409 -190.453186
1805600.00 50078.2852 198.571609 3878.31470 2423.84790 1962.75073 7219.08887 1912.89136 -28.3633690 -7.75728369 268.539795 -190.317093
1805800.00 50078.2852 201.964935 3341.48950 2465.26831 1973.52454 6879.21777 1939.75317 -44.4594727 -7.75728369 268.625488 -190.394638
1806000.00 50078.2852 202.775543 2845.71753 2475.16284 2037.82983 6591.33545 1991.10986 -30.8648586 -7.75728369 268.050385 -190.465637
1806200.00 50078.2852 198.325745 3043.68823 2420.84668 1964.45520 6608.23047 1926.72778 -40.0753098 -7.75728369 268.270996 -190.468277
1806400.00 50078.2852 203.336090 3268.44360 2482.00513 1915.62646 6784.70801 1883.01636 -45.2097855 -7.75728369 268.198608 -190.378723
1806600.00 50078.2852 201.162537 2784.90405 2455.47388 1974.05188 6463.45361 1926.86060 -31.1867294 -7.75728369 268.633423 -190.255417
1806800.00 50078.2852 195.538147 2652.97754 2386.82007 1991.94446 6316.34131 1942.95288 -29.4782391 -7.75728369 268.846039 -190.376312
1807000.00 50078.2852 200.712296 2893.40967 2449.97778 1939.35657 6502.50879 1910.84998 -50.1104889 -7.75728369 269.165253 -190.548111
1807200.00 50078.2852 204.515106 3125.34668 2496.39673 1956.31152 6735.27539 1933.06775 -54.2444954 -7.75728369 268.174286 -190.685974
1807400.00 50078.2852 196.616486 3057.18066 2399.98267 1973.57092 6606.33643 1941.87952 -45.9695778 -7.75728369 268.204376 -190.543365
1807600.00 50078.2852 198.692383 2885.44922 2425.32202 1988.24866 6520.93066 1959.17249 -48.5007553 -7.75728369 268.112061 -190.535172
1807800.00 50078.2852 204.918701 3570.96973 2501.32324 1989.23181 7098.57861 1944.61047 -33.4199638 -7.75728369 268.748535 -190.707230
1808000.00 50078.2852 199.899155 3004.83496 2440.05249 1988.24146 6622.84668 1953.02759 -43.3051186 -7.75728369 269.218140 -190.699066
1808200.00 50078.2852 200.720444 2884.14429 2450.07739 1943.35229 6499.83691 1907.32690 -42.0932693 -7.75728369 268.741852 -190.623123
1808400.00 50078.2852 205.004471 2955.41650 2502.37012 1966.59924 6627.42969 1925.33484 -37.4761543 -7.75728369 269.327881 -190.587143
1808600.00 50078.2852 196.731705 3113.95190 2401.38916 1958.90039 6634.53467 1918.39880 -38.1612778 -7.75728369 269.289429 -190.626572
1808800.00 50078.2852 199.136017 3413.00342 2430.73730 1971.96484 6895.35645 1940.88696 -47.0672035 -7.75728369 268.878632 -190.733505
1809000.00 50078.2852 202.553055 2840.52026 2472.44727 2005.52063 6552.51465 1977.67871 -49.7674255 -7.75728369 268.431732 -190.822357
1809200.00 50078.2852 199.837326 2415.77124 2439.29761 1955.99036 6159.62354 1917.08435 -39.0418701 -7.75728369 268.600616 -190.652649
1809400.00 50078.2852 199.260254 2875.86157 2432.25391 1968.85645 6501.46826 1929.72925 -38.5668755 -7.75728369 268.377075 -190.682953
1809600.00 50078.2852 200.561218 3100.11230 2448.13403 2007.16431 6719.43555 1971.74756 -42.9838905 -7.75728369 268.921509 -190.520905
1809800.00 50078.2852 198.759644 3051.61914 2426.14331 1982.66150 6637.52539 1936.49341 -32.4664764 -7.75728369 269.015869 -190.381241
1810000.00 50078.2852 196.829483 2199.97168 2402.58301 1969.15173 5978.46289 1928.23816 -37.4165306 -7.75728369 268.697815 -190.367783
1810200.00 50078.2852 201.283783 3169.73462 2456.95361 1968.07544 6740.01465 1925.32605 -35.7744522 -7.75728369 268.842529 -190.318665
1810400.00 50078.2852 196.240417 2776.70532 2395.39233 2012.40588 6435.73828 1976.96509 -43.2284622 -7.75728369 268.840363 -190.171173
1810600.00 50078.2852 196.515167 1538.17920 2398.74609 1964.66699 5486.80762 1933.39050 -47.4061241 -7.75728369 269.037689 -190.355026
1810800.00 50078.2852 198.127182 2102.66650 2418.42310 1988.15515 5942.24072 1952.04089 -42.3356209 -7.75728369 268.823669 -190.373795
1811000.00 50078.2852 199.713287 3043.95825 2437.78369 1990.75696 6651.66650 1968.14624 -55.6682510 -7.75728369 268.758881 -190.479935
1811200.00 50078.2852 195.699326 2872.55688 2388.78760 1945.36536 6432.09717 1906.24231 -38.9704742 -7.75728369 268.515564 -190.422058
1811400.00 50078.2852 203.024063 2526.21753 2478.19653 1951.07166 6274.26709 1906.39246 -33.8540688 -7.75728369 268.906525 -190.373367
1811600.00 50078.2852 201.756363 3135.45581 2462.72241 1945.10913 6697.78174 1900.30408 -32.9440765 -7.75728369 268.313782 -190.564697
1811800.00 50078.2852 198.756073 2708.06592 2426.09961 1947.22131 6351.13086 1919.44299 -50.1426964 -7.75728369 268.747284 -190.826263
1812000.00 50078.2852 200.512238 2013.12854 2447.53613 1965.52686 5883.33203 1914.40381 -26.3513889 -7.75728369 268.448608 -190.974274
1812200.00 50078.2852 202.658966 1987.98608 2473.73999 1972.26318 5897.90967 1937.50830 -42.7534218 -7.75728369 268.511566 -191.003204
1812400.00 50078.2852 196.206573 2316.81812 2394.97925 1957.99988 6045.04492 1911.77405 -31.7848492 -7.75728369 268.838745 -190.828064
1812600.00 50078.2852 202.678696 2324.21069 2473.98071 1947.83740 6119.28320 1917.42639 -47.2156334 -7.75728369 268.361908 -190.735397
