Step Volume Temp Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long
1550200.00 48934.2227 197.099045 2721.14990 2405.87305 1968.24609 6316.08252 1923.07629 -32.9566765 -7.93864584 268.910126 -190.783722
1550400.00 48934.2227 201.592987 3506.17578 2460.72803 1996.59070 6959.52051 1946.53308 -28.3241005 -7.93864584 269.312164 -190.930420
1550600.00 48934.2227 198.470856 3938.83569 2422.61792 2024.05762 7257.64697 1963.45215 -17.5555325 -7.93864584 268.975342 -190.814331
1550800.00 48934.2227 199.989838 3163.67505 2441.15942 1946.62439 6645.55762 1893.88708 -25.7209702 -7.93864584 269.048462 -190.590225
1551000.00 48934.2227 203.204758 3762.90918 2480.40210 1986.15381 7151.97656 1926.84729 -19.6832218 -7.93864584 269.492279 -190.502625
1551200.00 48934.2227 199.783585 3252.67432 2438.64160 1999.41821 6759.34863 1951.41064 -30.9262733 -7.93864584 269.342682 -190.408783
1551400.00 48934.2227 199.182907 2580.57129 2431.30981 1935.46179 6208.41016 1891.69849 -35.7086563 -7.93864584 269.763336 -190.291367
1551600.00 48934.2227 203.469238 2540.74048 2483.63062 1979.03955 6275.88330 1923.93872 -24.1964092 -7.93864584 269.808655 -190.511475
1551800.00 48934.2227 199.829422 3261.50732 2439.20117 1952.25867 6719.05273 1908.56897 -35.3730011 -7.93864584 269.681427 -190.618683
1552000.00 48934.2227 200.013550 3735.60913 2441.44873 1948.06323 7055.44971 1894.11865 -25.3854198 -7.93864584 269.872162 -190.542145
1552200.00 48934.2227 203.210052 3245.20947 2480.46655 1984.28174 6780.70996 1929.00159 -23.5434208 -7.93864584 269.462921 -190.639511
1552400.00 48934.2227 197.482574 2744.50000 2410.55469 1936.47595 6305.65820 1890.67615 -32.2983551 -7.93864584 268.791870 -190.693634
1552600.00 48934.2227 198.494019 2754.98584 2422.90088 2008.60767 6397.61914 1952.19226 -21.4841862 -7.93864584 268.644775 -190.745102
1552800.00 48934.2227 201.915131 2232.47632 2464.66040 1975.88623 6033.76562 1921.73718 -24.0850697 -7.93864584 268.908569 -190.674515
1553000.00 48934.2227 196.505753 2240.78564 2398.63110 1922.34192 5920.12207 1881.05444 -37.2390137 -7.93864584 269.155060 -190.628540
1553200.00 48934.2227 200.929443 3378.64868 2452.62866 1938.35388 6802.17383 1886.71375 -25.3713055 -7.93864584 267.948669 -190.937180
1553400.00 48934.2227 203.217133 3761.54126 2480.55298 1956.72925 7121.72656 1917.76965 -39.0430412 -7.93864584 268.869598 -190.866913
1553600.00 48934.2227 195.529556 2691.85913 2386.71533 1936.47131 6244.24658 1900.77429 -43.1990204 -7.93864584 269.763367 -190.867355
1553800.00 48934.2227 199.948257 2624.18604 2440.65186 1953.68420 6267.10059 1898.79370 -24.0699425 -7.93864584 269.744720 -190.784225
1554000.00 48934.2227 201.746460 2793.20654 2462.60132 1978.25024 6434.23877 1926.17200 -26.5851078 -7.93864584 269.332916 -190.669586
1554200.00 48934.2227 197.035614 3145.22656 2405.09888 1980.50635 6630.21338 1927.79395 -26.4568520 -7.93864584 269.779663 -190.610382
1554400.00 48934.2227 200.186539 3020.25684 2443.56055 1920.60254 6519.58594 1880.33960 -38.7935371 -7.93864584 269.597748 -190.541214
1554600.00 48934.2227 202.582184 3125.75977 2472.80273 1966.58496 6670.10303 1918.29382 -30.3012600 -7.93864584 269.255981 -190.663635
1554800.00 48934.2227 199.841385 3929.60986 2439.34741 1942.14941 7185.88428 1891.86438 -27.6622791 -7.93864584 268.859344 -190.912033
1555000.00 48934.2227 199.839035 3849.85791 2439.31860 1919.31311 7106.10352 1884.24866 -42.7319298 -7.93864584 268.821075 -191.024841
1555200.00 48934.2227 197.348816 3481.56421 2408.92212 2012.34106 6905.90039 1957.48328 -23.2381058 -7.93864584 269.147949 -191.052078
1555400.00 48934.2227 201.783676 2599.46289 2463.05566 1977.84766 6296.02441 1935.64319 -35.8083458 -7.93864584 268.940460 -190.927597
1555600.00 48934.2227 198.329193 3223.87866 2420.88892 1920.51611 6642.14355 1885.00085 -43.2730179 -7.93864584 269.648712 -190.860474
1555800.00 48934.2227 200.850082 3998.22607 2451.65991 1962.75232 7267.76807 1919.87073 -35.0635719 -7.93864584 268.682404 -190.737244
1556000.00 48934.2227 200.024216 3776.12109 2441.57910 1960.43713 7096.86572 1903.46228 -22.0056705 -7.93864584 269.312805 -190.332352
1556200.00 48934.2227 200.034515 3317.04932 2441.70483 1963.13074 6772.06592 1930.55334 -45.5177879 -7.93864584 268.625641 -190.530594
