Step Volume Temp Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long
1450200.00 48481.4883 200.039047 2044.02368 2441.76001 1964.48071 5851.47314 1899.78052 -13.0517483 -8.01277924 269.072388 -191.320435
1450400.00 48481.4883 202.069504 2812.01782 2466.54492 1928.88330 6383.67334 1881.09814 -29.7846947 -8.01277924 268.827026 -191.257126
1450600.00 48481.4883 201.150528 2566.70850 2455.32739 1974.58276 6244.70850 1931.01526 -33.3316002 -8.01277924 268.151215 -191.251953
1450800.00 48481.4883 199.554367 1865.21533 2435.84399 1949.90942 5704.55908 1904.08960 -31.7252197 -8.01277924 268.754395 -191.209335
1451000.00 48481.4883 200.164490 1710.75305 2443.29126 1966.80945 5619.69336 1926.88806 -37.6330070 -8.01277924 268.802856 -191.248474
1451200.00 48481.4883 202.868423 2305.16602 2476.29639 1978.70532 6084.87598 1915.58289 -14.2615929 -8.01277924 268.423065 -191.039062
1451400.00 48481.4883 195.961121 2777.81519 2391.98315 1956.74548 6312.79102 1909.76233 -30.5870533 -8.01277924 268.604553 -191.034256
1451600.00 48481.4883 199.930878 2546.25024 2440.43970 1989.68848 6230.46143 1933.39746 -22.2190952 -8.01277924 269.411163 -190.901108
1451800.00 48481.4883 203.010513 2392.91260 2478.03101 1943.88184 6113.82812 1915.58362 -50.3726807 -8.01277924 269.425964 -190.755112
1452000.00 48481.4883 196.871094 3256.01294 2403.09082 1934.84399 6640.10791 1895.52502 -38.9761238 -8.01277924 269.020844 -190.725739
1452200.00 48481.4883 201.049225 3355.72656 2454.09082 1978.16931 6804.93604 1920.44604 -21.6738262 -8.01277924 269.841492 -190.444473
1452400.00 48481.4883 200.522964 3603.77222 2447.66699 1986.52246 6982.24658 1925.06238 -17.6838036 -8.01277924 269.682770 -190.539032
1452600.00 48481.4883 195.923401 4272.01611 2391.52271 1953.59875 7365.66260 1896.46216 -22.3090630 -8.01277924 269.826874 -190.381226
