Step Volume Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long
1350200.00 47361.8398 13390.8652 2420.69971 1994.78943 13664.8789 1908.07788 7.97816420 -8.20220375 270.036896 -191.303574
1350400.00 47361.8398 12785.3252 2482.70825 1976.83240 13290.6699 1918.42297 -20.2667179 -8.20220375 269.850250 -191.174149
1350600.00 47361.8398 13556.6953 2435.95679 2041.41370 13841.3027 1968.05786 -5.10083675 -8.20220375 269.951111 -191.494446
1350800.00 47361.8398 13525.1963 2392.72388 2023.37146 13758.2715 1948.89087 -4.05669165 -8.20220375 269.897644 -191.360535
1351000.00 47361.8398 13652.3887 2475.27979 2051.74072 13957.0518 1974.41455 -0.252416730 -8.20220375 269.171906 -191.593277
1351200.00 47361.8398 13976.1064 2477.95117 1988.11035 14119.6924 1920.67810 -9.84118652 -8.20220375 268.905762 -191.632339
1351400.00 47361.8398 14050.7803 2411.29492 2042.53784 14159.0420 1964.36914 0.191965893 -8.20220375 269.622711 -191.645996
1351600.00 47361.8398 14003.6309 2426.90137 2059.15991 14158.7041 1980.76855 0.100382261 -8.20220375 269.733032 -191.441940
1351800.00 47361.8398 13716.4434 2435.50317 2062.69629 13972.4736 1981.33386 3.32359338 -8.20220375 269.395538 -191.356903
1352000.00 47361.8398 14006.5859 2445.31274 2041.62756 14161.6230 1954.50037 9.39700603 -8.20220375 269.018829 -191.288635
1352200.00 47361.8398 15017.3184 2471.69263 2045.57788 14890.0908 1964.22156 3.45000577 -8.20220375 269.404449 -191.498032
1352400.00 47361.8398 14984.0645 2430.55396 2050.09399 14830.4980 1959.04785 12.2319784 -8.20220375 269.962708 -191.148453
1352600.00 47361.8398 14528.7676 2422.52637 1996.76819 14454.6611 1920.24915 -2.28324771 -8.20220375 270.001190 -191.198959
1352800.00 47361.8398 13962.4316 2466.25049 2058.39185 14168.8271 1972.78809 6.55165672 -8.20220375 270.084137 -191.032135
1353000.00 47361.8398 13620.5146 2424.98804 2046.45544 13879.4580 1952.15625 15.0863180 -8.20220375 270.161865 -190.948853
