Step Volume Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long
1250200.00 49389.7578 2884.26782 2439.94849 1885.86060 6403.34424 1901.04651 -92.8259659 -7.86542606 268.291870 -190.651794
1250400.00 49389.7578 2078.10254 2450.11670 1873.07361 5820.04541 1886.79224 -91.7985840 -7.86542606 268.600586 -190.520584
1250600.00 49389.7578 2754.58936 2427.82910 1920.76221 6332.71924 1930.44421 -88.2007141 -7.86542606 269.122986 -190.604202
1250800.00 49389.7578 3486.66455 2436.78564 1907.15173 6855.37842 1907.59290 -78.5809250 -7.86542606 268.807556 -190.667892
1251000.00 49389.7578 2959.92090 2460.35352 1929.15662 6521.53809 1925.47229 -75.3933411 -7.86542606 269.586426 -190.508789
1251200.00 49389.7578 2316.02100 2436.39990 1887.20190 5991.82910 1895.14490 -86.7560883 -7.86542606 269.273987 -190.460907
1251400.00 49389.7578 3035.63110 2469.96265 1862.71716 6519.24170 1875.18152 -91.3365707 -7.86542606 269.267273 -190.395065
1251600.00 49389.7578 3558.31201 2444.46021 1973.35950 6980.86816 1974.92102 -80.4489975 -7.86542606 269.217285 -190.329834
1251800.00 49389.7578 2634.41699 2380.21460 1939.47217 6217.25439 1938.10205 -77.6818771 -7.86542606 269.545166 -190.493164
1252000.00 49389.7578 1919.16504 2430.39429 1930.32507 5743.09229 1933.23584 -81.4790039 -7.86542606 269.225067 -190.656845
1252200.00 49389.7578 2668.11035 2489.40649 1881.16858 6292.41211 1893.32056 -90.0890198 -7.86542606 268.721039 -190.784027
1252400.00 49389.7578 2502.28027 2413.72437 1888.76074 6104.87500 1895.85645 -85.2739563 -7.86542606 268.950989 -190.772659
1252600.00 49389.7578 1074.49890 2456.75757 1916.21582 5146.93359 1914.26550 -76.5319748 -7.86542606 269.145325 -190.663025
1252800.00 49389.7578 2100.86719 2436.79028 1911.27344 5861.31592 1910.21741 -77.1715927 -7.86542606 268.835175 -190.607605
1253000.00 49389.7578 2594.59448 2400.85962 1898.21033 6167.95361 1898.15930 -77.7022552 -7.86542606 268.430847 -190.677643
1253200.00 49389.7578 2579.46045 2415.97192 1839.18469 6113.13916 1839.07544 -77.8341599 -7.86542606 268.574554 -190.631027
1253400.00 49389.7578 3086.58423 2436.63379 1921.05786 6580.95508 1921.61035 -78.9932480 -7.86542606 269.082642 -190.641830
1253600.00 49389.7578 3320.12012 2460.17212 1877.53760 6729.18848 1886.49194 -87.7898331 -7.86542606 269.610931 -190.775421
1253800.00 49389.7578 3031.78369 2396.69141 1896.71301 6477.19482 1909.46643 -90.6760788 -7.86542606 268.952118 -191.029465
1254000.00 49389.7578 2592.42432 2438.89600 1941.75391 6247.97021 1937.61682 -73.2014008 -7.86542606 268.317932 -190.979416
1254200.00 49389.7578 2575.63770 2435.88062 1897.54590 6188.65576 1910.71216 -91.6150970 -7.86542606 269.245392 -190.796555
1254400.00 49389.7578 3029.75537 2402.88501 1862.33325 6447.54785 1866.91138 -82.7440262 -7.86542606 269.101807 -190.935913
1254600.00 49389.7578 3044.96191 2442.70728 1898.84021 6534.83057 1903.48474 -83.2727127 -7.86542606 269.267334 -190.639069
1254800.00 49389.7578 2646.16333 2467.70630 1955.02405 6328.75928 1962.52600 -86.4668121 -7.86542606 269.489380 -190.524567
1255000.00 49389.7578 2272.80249 2418.12134 1895.65747 5950.87598 1908.60449 -91.0160141 -7.86542606 268.668915 -190.599792
1255200.00 49389.7578 3439.21118 2461.18750 1891.09924 6829.54688 1905.01282 -92.2696686 -7.86542606 268.907928 -190.551804
1255400.00 49389.7578 3159.14966 2442.34497 1898.09839 6615.97559 1907.39807 -87.2656631 -7.86542606 268.441620 -190.475616
1255600.00 49389.7578 2298.62476 2386.87354 1905.88245 5948.45312 1917.41467 -89.8625031 -7.86542606 268.767548 -190.437286
1255800.00 49389.7578 2993.65747 2455.56592 1898.03125 6509.92578 1893.53101 -74.0520096 -7.86542606 269.077576 -190.525253
1256000.00 49389.7578 3632.81958 2450.65356 1903.24036 6970.61035 1907.81665 -82.7974777 -7.86542606 268.998993 -190.777832
1256200.00 49389.7578 3714.07666 2328.92822 1911.65686 6915.83057 1916.81714 -83.2938080 -7.86542606 268.999268 -190.865662
1256400.00 49389.7578 3625.80151 2446.01733 1896.38916 6954.06738 1896.00378 -77.5981293 -7.86542606 268.852020 -190.868561
1256600.00 49389.7578 4020.36499 2449.22534 1916.35510 7261.44531 1921.55554 -82.5168915 -7.86542606 268.168549 -190.852158
1256800.00 49389.7578 4552.57471 2435.54639 1822.73145 7537.49268 1829.29724 -84.6921082 -7.86542606 268.770660 -190.644333
1257000.00 49389.7578 3049.16260 2453.34668 1897.79382 6547.44922 1907.69434 -87.9408646 -7.86542606 268.730743 -190.690353
1257200.00 49389.7578 2894.26978 2448.67188 1894.79944 6428.21094 1906.26038 -89.3674774 -7.86542606 268.579834 -190.673416
1257400.00 49389.7578 3118.23657 2389.58179 1916.81555 6552.45996 1927.79993 -88.9407349 -7.86542606 268.842468 -190.885986
1257600.00 49389.7578 3329.17969 2424.40674 1926.17883 6748.59033 1928.91443 -80.6924210 -7.86542606 268.701782 -190.744965
1257800.00 49389.7578 3359.42749 2438.18042 1946.61157 6804.58447 1957.75928 -88.9247131 -7.86542606 268.512390 -190.735367
1258000.00 49389.7578 2990.54541 2378.74585 1946.73584 6479.56836 1941.02722 -72.2360458 -7.86542606 268.392944 -190.448303
1258200.00 49389.7578 2649.07690 2440.64111 1909.84192 6258.61035 1917.07996 -85.7382584 -7.86542606 269.048035 -190.547806
1258400.00 49389.7578 3482.04761 2502.86450 1929.70374 6940.68359 1929.89832 -78.1471786 -7.86542606 268.655121 -190.702545
1258600.00 49389.7578 3421.27295 2444.46533 1887.20361 6796.00830 1896.17249 -86.1475983 -7.86542606 268.054901 -190.876175
1258800.00 49389.7578 3327.13452 2381.16479 1941.45398 6719.15039 1945.22534 -81.9028778 -7.86542606 269.052887 -190.921432
1259000.00 49389.7578 3619.93774 2466.28076 1960.01550 7033.73340 1965.17468 -83.1625137 -7.86542606 268.769958 -190.766724
1259200.00 49389.7578 3098.95361 2419.66699 1914.61536 6566.45557 1923.49390 -87.6202393 -7.86542606 269.445038 -190.703293
1259400.00 49389.7578 2919.73828 2403.97095 1924.84399 6431.89941 1929.66406 -83.6170807 -7.86542606 269.438446 -190.641495
1259600.00 49389.7578 2722.07837 2454.12646 1971.68115 6386.51758 1979.09546 -85.2739029 -7.86542606 268.737488 -190.877914
1259800.00 49389.7578 3003.94702 2450.08789 1922.27991 6536.10742 1938.33191 -93.2254028 -7.86542606 268.232849 -191.059464
1260000.00 49389.7578 3381.83740 2443.85010 1876.46411 6756.24805 1886.75378 -87.2072220 -7.86542606 268.025421 -191.107864
1260200.00 49389.7578 2487.15674 2469.48682 1954.29004 6215.27344 1960.06714 -82.8573914 -7.86542606 268.226959 -191.146530
1260400.00 49389.7578 2472.41479 2427.55371 1924.10376 6132.53516 1933.59045 -86.6886673 -7.86542606 268.266449 -191.064377
