Step Volume Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long
1650200.00 50540.8242 2026.94360 2463.20752 1913.18945 5870.42871 1913.43115 -78.2599640 -7.68629122 268.192657 -190.174347
1650400.00 50540.8242 2910.46313 2513.03271 1937.06677 6595.36133 1940.85181 -82.2816544 -7.68629122 268.640198 -190.143555
1650600.00 50540.8242 3768.09497 2443.36670 1906.50916 7127.28613 1918.31323 -89.5263519 -7.68629122 268.032532 -190.310226
1650800.00 50540.8242 3424.28223 2451.75366 1910.38770 6886.13232 1915.99939 -83.2655411 -7.68629122 267.996704 -190.342896
1651000.00 50540.8242 3424.51880 2493.20068 1916.66553 6934.03125 1925.34045 -86.7622147 -7.68629122 268.331116 -190.243790
1651200.00 50540.8242 3347.53760 2461.16357 1909.44897 6838.03564 1920.21301 -89.4292297 -7.68629122 268.887634 -190.222443
1651400.00 50540.8242 2914.15820 2458.44019 1918.37476 6524.80029 1928.47009 -88.5777893 -7.68629122 268.869904 -190.387512
1651600.00 50540.8242 2196.09448 2457.05444 1940.56287 6016.32812 1946.47400 -83.7310333 -7.68629122 268.374695 -190.554703
1651800.00 50540.8242 1235.50964 2488.00708 1978.06775 5376.75146 1981.48315 -81.3471756 -7.68629122 268.451813 -190.520035
1652000.00 50540.8242 2314.68628 2411.52490 1942.04175 6059.68994 1953.96887 -90.9714355 -7.68629122 269.348083 -190.303696
1652200.00 50540.8242 3173.33667 2471.44653 1910.18835 6720.65723 1911.07996 -79.5834579 -7.68629122 268.681000 -189.989166
1652400.00 50540.8242 2381.96851 2466.63013 1969.40820 6191.75439 1965.41565 -75.2019577 -7.68629122 268.989319 -189.794937
1652600.00 50540.8242 2550.01489 2401.05029 1985.70850 6266.33887 1988.43884 -82.1306915 -7.68629122 269.293884 -189.893570
1652800.00 50540.8242 3394.77905 2397.29492 1967.17981 6866.71924 1955.20361 -66.6376419 -7.68629122 268.615967 -190.002136
1653000.00 50540.8242 2705.82666 2445.45166 1999.16602 6439.04492 2003.53857 -82.9111862 -7.68629122 268.731781 -190.193176
1653200.00 50540.8242 2389.33252 2396.66748 1977.06836 6134.87988 1969.92285 -71.3162842 -7.68629122 268.679260 -190.217453
1653400.00 50540.8242 3191.42212 2442.00757 1956.18005 6750.54053 1937.49963 -59.7733727 -7.68629122 268.710388 -190.256516
1653600.00 50540.8242 3349.23340 2493.89746 1982.98584 6945.55664 1977.87524 -72.5472641 -7.68629122 268.068970 -190.411057
1653800.00 50540.8242 2853.17749 2453.96729 1919.31189 6476.31641 1916.63452 -74.5018005 -7.68629122 267.697052 -190.517776
1654000.00 50540.8242 1705.26355 2454.64722 1930.75366 5642.32666 1930.30481 -77.1959229 -7.68629122 268.256470 -190.611664
1654200.00 50540.8242 1852.48230 2418.20215 1981.42126 5765.06250 1975.25037 -71.3282471 -7.68629122 268.097961 -190.598877
1654400.00 50540.8242 1757.77698 2470.64136 1944.78845 5711.06250 1951.86353 -84.3423309 -7.68629122 268.007690 -190.740494
1654600.00 50540.8242 1342.40381 2411.00586 1906.22778 5306.70068 1907.72388 -79.5726776 -7.68629122 268.633667 -190.557175
1654800.00 50540.8242 1728.28027 2461.34863 1933.37244 5668.61230 1946.83313 -91.5271683 -7.68629122 268.631531 -190.565094
1655000.00 50540.8242 2949.93872 2446.45508 1940.22180 6561.03564 1941.04175 -78.8259125 -7.68629122 268.644623 -190.638672
1655200.00 50540.8242 2786.93652 2424.71753 1905.34607 6384.27588 1898.46863 -70.9775925 -7.68629122 268.372955 -190.517792
