Step Volume Temp Press KinEng PotEng E_bond E_angle E_dihed E_impro E_mol E_vdwl E_tail E_coul E_long Enthalpy Density Lx Ly Lz
100.000000 50160.0000 140.000000 1075.68250 1708.89844 4003.29419 23.8021393 136.988556 38.6318359 6.94356298 206.366089 -2728.79712 -77.4468689 25796.0273 -19270.3027 6499.08887 0.950232923 30.0000000 38.0000000 44.0000000
200.000000 50591.5977 82.6889038 1065.64783 1009.33521 4846.16504 242.874634 399.115082 220.276947 35.5344276 897.801086 -2614.27661 -76.7861633 25827.3145 -19264.6738 6641.76367 0.942126453 30.0857983 38.1086769 44.1258392
400.000000 52319.1484 103.215012 604.958008 1259.88550 5042.41943 378.446625 483.348999 227.237427 38.1842918 1127.21729 -2536.05298 -74.2507248 25747.1367 -19295.8828 6763.90088 0.911017954 30.4244194 38.5375977 44.6224823
600.000000 53056.1406 137.455215 285.392914 1677.83557 5076.17871 381.698334 440.091217 282.415070 44.1630974 1148.36768 -2466.32373 -73.2193298 25714.5527 -19320.4199 6974.84229 0.898363233 30.5666103 38.7177086 44.8310318
800.000000 53795.8984 142.588120 -411.243500 1740.49011 5250.63330 461.641632 455.697021 283.412628 45.2812309 1246.03247 -2430.06982 -72.2124710 25759.2383 -19324.5664 6668.47900 0.886009634 30.7080193 38.8968239 45.0384293
1000.00000 54052.1211 126.414597 -1340.88867 1543.06946 5388.46484 554.757812 527.527283 289.638794 49.6184311 1421.54236 -2427.11548 -71.8701706 25723.1172 -19329.0801 5874.51855 0.881809711 30.7566948 38.9584808 45.1098175
1200.00000 53809.3242 139.938263 248.934067 1708.14478 5153.50342 430.521637 434.615143 274.487091 41.9402084 1181.56409 -2412.52173 -72.1944580 25715.3184 -19330.8574 7057.00049 0.885788560 30.7105732 38.9000587 45.0421753
1400.00000 53570.8867 143.884995 910.317566 1756.32043 5189.59473 443.251984 460.531036 283.607452 49.9699173 1237.36035 -2420.37866 -72.5157852 25703.5938 -19330.9805 7657.12451 0.889731109 30.6651459 38.8425179 44.9755478
1600.00000 53458.2578 139.725281 772.610779 1705.54504 5170.25146 416.555908 484.061432 289.050385 47.3514252 1237.01917 -2450.51880 -72.6685638 25717.0039 -19333.2539 7478.14990 0.891605616 30.6436405 38.8152771 44.9440041
1800.00000 53180.9297 145.010437 379.441010 1770.05774 5098.16943 407.950836 457.869568 279.788269 45.5510712 1191.15979 -2449.08154 -73.0475159 25690.3926 -19334.3008 7162.51758 0.896255195 30.5905571 38.7480392 44.8661499
2000.00000 53013.0352 139.711044 -540.102661 1705.37122 5163.79297 428.546722 489.332001 292.544678 43.3726044 1253.79602 -2470.69580 -73.2788620 25710.5195 -19329.8262 6451.58887 0.899093688 30.5583305 38.7072182 44.8188858
2200.00000 52745.9883 138.440628 -793.486938 1689.86414 5133.67480 452.642822 479.213776 277.572388 45.1430817 1254.57214 -2463.49023 -73.6498642 25670.8906 -19328.2988 6213.15186 0.903645635 30.5069332 38.6421165 44.7435036
2400.00000 52629.5430 141.138977 133.835083 1722.80115 5079.84131 409.480225 468.309418 291.855194 46.6362267 1216.28101 -2479.14917 -73.8128204 25669.6172 -19326.9082 6905.36719 0.905645013 30.4844685 38.6136589 44.7105522
2600.00000 52432.7812 137.879517 604.125610 1683.01477 5143.05811 453.345245 492.635071 290.168274 47.5976448 1283.74622 -2470.18774 -74.0898132 25662.7891 -19333.2891 7288.03467 0.909043550 30.4464302 38.5654793 44.6547623
2800.00000 52591.0312 135.352188 -334.173767 1652.16528 5120.19238 435.189270 496.539001 286.506958 47.1417923 1265.37695 -2488.77930 -73.8668671 25674.6699 -19331.0762 6516.05078 0.906308174 30.4770298 38.6042366 44.6996422
3000.00000 52514.5508 143.939590 -664.249939 1756.98669 5086.38428 429.367249 467.878052 288.176941 43.4359169 1228.85815 -2483.81494 -73.9744492 25675.5645 -19334.2227 6334.64160 0.907628179 30.4622498 38.5855141 44.6779633
3200.00000 51980.8711 139.751953 -700.839539 1705.87085 5083.60254 441.688110 495.438965 287.055969 46.0977211 1270.28076 -2500.12695 -74.7339325 25647.9844 -19334.5352 6258.17578 0.916946650 30.3587055 38.4543610 44.5261040
3400.00000 51778.6211 136.299622 -703.791382 1663.72998 5023.18457 436.514557 465.712067 303.523438 45.8078804 1251.55798 -2531.74390 -75.0258484 25639.9375 -19336.5664 6155.45508 0.920528293 30.3192806 38.4044228 44.4682808
3600.00000 51786.0859 142.989944 -13.1509972 1745.39490 5002.72607 427.111511 460.514679 286.603668 48.8769913 1223.10693 -2508.77905 -75.0150299 25625.4570 -19337.0586 6738.18848 0.920395613 30.3207378 38.4062691 44.4704170
3800.00000 51955.7969 139.761566 164.497086 1705.98792 5032.58447 440.344421 484.706116 293.268127 47.8455162 1266.16418 -2516.58740 -74.7700043 25620.6562 -19337.6504 6863.21533 0.917389154 30.3538246 38.4481773 44.5189438
4000.00000 52058.2578 138.368530 587.061951 1688.98401 4988.65625 407.013275 466.825714 286.546448 52.7842674 1213.16968 -2513.98730 -74.6228409 25630.2227 -19340.7480 7123.34717 0.915583551 30.3737640 38.4734344 44.5481873
4200.00000 51460.8672 143.340576 725.585144 1749.67493 4997.60449 428.755676 482.332977 293.205780 51.5114555 1255.80591 -2523.33252 -75.4891052 25600.0273 -19334.8965 7291.83398 0.926212251 30.2571335 38.3257027 44.3771286
4400.00000 51426.2461 138.018234 -480.182281 1684.70813 5008.49512 450.842438 490.814362 310.492950 45.9946938 1298.14441 -2549.15063 -75.5399246 25599.4102 -19339.9082 6333.06738 0.926835775 30.2503452 38.3171043 44.3671761
4600.00000 51342.9375 137.778793 -348.998505 1681.78540 4956.00049 433.988434 484.610443 285.596436 47.7349548 1251.93018 -2561.72192 -75.6624985 25604.2676 -19338.4766 6376.46143 0.928339601 30.2340031 38.2964058 44.3432045
4800.00000 51269.4688 139.669876 939.097534 1704.86877 5022.19482 433.756744 483.453247 313.539978 47.6064529 1278.35645 -2542.18579 -75.7709198 25624.9707 -19338.9453 7429.23877 0.929669917 30.2195759 38.2781296 44.3220444
5000.00000 51474.6797 139.329727 839.046082 1700.71680 5010.09131 424.028931 500.183441 307.108917 48.4526787 1279.77405 -2556.29395 -75.4688492 25617.0840 -19330.4727 7340.68457 0.925963700 30.2598400 38.3291321 44.3810997
5200.00000 51114.5156 139.859375 460.945190 1707.18188 4956.03418 422.799652 499.854462 299.162903 49.0031548 1270.82019 -2575.05469 -76.0006180 25598.9453 -19338.6777 7006.82861 0.932488203 30.1891003 38.2395287 44.2773476
5400.00000 50886.7461 137.135254 185.882034 1673.93005 4969.16162 426.643982 504.727234 301.393494 49.0327339 1281.79736 -2571.29907 -76.3407974 25597.5938 -19338.9316 6781.04004 0.936662018 30.1441917 38.1826439 44.2114792
5600.00000 51224.0312 141.012772 336.681091 1721.26074 4976.39990 434.410034 481.693115 303.805634 50.9426155 1270.85144 -2584.92554 -75.8381348 25625.5566 -19335.0820 6949.17822 0.930494606 30.2106457 38.2668152 44.3089447
5800.00000 51450.5156 142.412933 -182.938538 1738.35156 5004.42139 422.147308 511.880005 310.470428 50.8250656 1295.32275 -2563.52808 -75.5042953 25612.0645 -19339.4375 6605.50439 0.926398575 30.2551041 38.3231316 44.3741531
6000.00000 51410.8125 140.046204 -809.804626 1709.46228 5006.80029 437.594238 494.219421 305.391174 52.4393692 1289.64417 -2565.72144 -75.5626068 25620.5840 -19337.7070 6109.09229 0.927114010 30.2473202 38.3132706 44.3627357
6200.00000 51029.2852 138.278152 -616.491455 1687.88086 4982.28076 433.165710 493.670959 310.129089 46.1450272 1283.11084 -2557.64648 -76.1275558 25597.2773 -19340.4609 6211.36279 0.934045672 30.1723118 38.2182617 44.2527237
6400.00000 50874.7422 142.177429 -418.423889 1735.47705 4914.84766 425.455597 489.156921 296.241699 48.0257034 1258.87988 -2583.65796 -76.3588104 25578.5391 -19338.9141 6339.87256 0.936883032 30.1418209 38.1796417 44.2080040
6600.00000 50634.9180 139.649765 386.501129 1704.62317 4909.66699 423.237030 490.586670 311.846954 46.5923042 1272.26294 -2614.36304 -76.7204742 25594.4980 -19342.7305 6899.70508 0.941320419 30.0943832 38.1195526 44.1384277
6800.00000 50786.0664 139.976913 531.434753 1708.61646 4966.00879 426.246552 493.716034 316.977478 51.8561821 1288.79626 -2585.71069 -76.4921417 25603.1094 -19340.1855 7068.23877 0.938518882 30.1242981 38.1574440 44.1823044
7000.00000 51220.5625 138.761673 -493.640778 1693.78284 5007.79346 448.702179 509.322968 311.101349 47.8553848 1316.98193 -2579.91821 -75.8432693 25608.9395 -19338.2090 6332.82666 0.930557668 30.2099628 38.2659531 44.3079453
7200.00000 51088.6016 140.713821 -796.288696 1717.61145 4974.91211 445.015350 533.075256 304.173950 48.3051682 1330.56970 -2588.93506 -76.0391693 25569.5586 -19336.2812 6099.22900 0.932961226 30.1839962 38.2330627 44.2698631
7400.00000 50785.4688 141.447067 -297.357483 1726.56177 4940.62109 444.363647 507.126770 299.863251 48.8136444 1300.16736 -2596.16699 -76.4930420 25572.0098 -19335.3887 6446.94385 0.938529968 30.1241798 38.1572952 44.1821327
7600.00000 50650.2031 139.343384 -44.4915848 1700.88354 4922.40771 444.832184 484.800903 307.362976 47.0930824 1284.08923 -2617.45605 -76.6973190 25594.8066 -19339.0332 6590.42578 0.941036403 30.0974102 38.1233864 44.1428719
7800.00000 50199.0078 141.298904 796.965637 1724.75342 4841.18848 415.713623 493.683044 308.284973 55.3187637 1273.00037 -2640.38208 -77.3866882 25548.3867 -19339.8164 7149.40137 0.949494541 30.0077744 38.0098495 44.0114021
8000.00000 50330.0977 139.815430 748.432434 1706.64551 4897.49268 414.765594 484.117035 317.086334 53.4058228 1269.37476 -2624.76392 -77.1851273 25591.6230 -19338.7422 7153.49707 0.947021544 30.0338726 38.0429039 44.0496788
8200.00000 50590.6680 139.547928 171.583115 1703.38025 4948.45264 438.068329 520.516479 314.187256 51.9237328 1324.69580 -2613.88110 -76.7875824 25579.2852 -19341.6465 6778.42920 0.942143798 30.0856133 38.1084442 44.1255684
8400.00000 50631.5781 140.441940 -317.408356 1714.29285 4928.44336 435.183838 502.825317 310.855255 57.3224716 1306.18689 -2618.15161 -76.7255325 25582.1016 -19341.6934 6408.35889 0.941382527 30.0937214 38.1187134 44.1374588
8600.00000 50672.8906 139.481232 -219.758469 1702.56604 4892.52197 421.597473 503.804565 305.095520 47.8845978 1278.38220 -2602.31519 -76.6629791 25557.5078 -19341.0527 6432.68408 0.940615058 30.1019058 38.1290779 44.1494598
8800.00000 50727.0508 140.151505 -611.759583 1710.74756 4967.18115 439.919830 527.875732 332.233734 49.8569260 1349.88635 -2628.66382 -76.5811310 25585.5527 -19339.5938 6225.34766 0.939610839 30.1126251 38.1426582 44.1651840
9000.00000 50251.0742 140.884033 694.068787 1719.68945 4885.40430 421.996765 514.369812 303.144775 51.1666412 1290.67798 -2624.39722 -77.3065033 25562.2559 -19343.1309 7113.74902 0.948510766 30.0181465 38.0229836 44.0266151
9200.00000 50424.7695 139.044571 795.584412 1697.23608 4906.90967 440.769104 479.960663 320.259918 53.3712234 1294.36084 -2614.17603 -77.0402069 25569.6914 -19342.9668 7189.21338 0.945243418 30.0526924 38.0667458 44.0772820
9400.00000 50472.3320 141.457092 6.19975710 1726.68433 4938.25928 429.224304 500.994415 322.570862 53.9684372 1306.75806 -2611.06689 -76.9676132 25583.8555 -19341.2871 6669.50732 0.944352746 30.0621376 38.0787086 44.0911369
9600.00000 50253.9883 141.074066 -262.386658 1722.00903 4893.46631 439.617279 506.045135 314.908569 53.6329994 1314.20398 -2628.77319 -77.3020172 25548.6074 -19340.5723 6423.17090 0.948455691 30.0187263 38.0237198 44.0274658
9800.00000 50158.0391 137.307816 80.8037643 1676.03638 4927.18799 453.575165 508.973022 302.523315 50.3407135 1315.41223 -2629.85669 -77.4498901 25580.1582 -19338.5254 6662.33252 0.950270057 29.9996090 37.9995041 43.9994278
10000.0000 50131.6367 144.615356 222.857773 1765.23547 4914.96289 438.719116 518.193481 309.052185 54.0596733 1320.02441 -2644.49292 -77.4906845 25576.9766 -19337.5449 6843.13379 0.950770557 29.9943447 37.9928360 43.9917068
10200.0000 50153.6328 144.384232 163.272446 1762.41406 4860.10791 420.976318 497.759430 309.981689 49.8201523 1278.53760 -2629.15747 -77.4567032 25554.1191 -19343.3906 6741.94580 0.950353563 29.9987297 37.9983902 43.9981384
10400.0000 50270.1758 137.454926 -327.572418 1677.83215 4877.63428 442.217468 512.492371 316.286163 55.1522179 1326.14819 -2655.51465 -77.2771301 25548.6035 -19341.6035 6315.31055 0.948150337 30.0219498 38.0278015 44.0321922
10600.0000 50146.8477 138.708237 205.518967 1693.13062 4908.12451 444.012970 502.081360 336.195831 52.5119400 1334.80212 -2634.12036 -77.4671783 25550.2148 -19342.7715 6751.55908 0.950482130 29.9973774 37.9966774 43.9961548
10800.0000 50204.5195 140.883286 -17.7233315 1719.68005 4870.90234 442.860596 506.262573 310.664551 56.0460854 1315.83374 -2658.10645 -77.3781891 25554.5020 -19341.3262 6577.60547 0.949390292 30.0088730 38.0112381 44.0130157
11000.0000 49770.2578 138.862793 249.830597 1695.01709 4857.02588 435.418610 512.419800 307.582825 53.4353790 1308.85657 -2651.70093 -78.0533371 25539.8887 -19340.0195 6733.38232 0.957674026 29.9220982 37.9013252 43.8857422
11200.0000 50021.5977 140.576523 367.044739 1715.93567 4884.70459 448.791168 492.798187 315.343719 50.5961571 1307.52917 -2653.79541 -77.6611557 25568.6270 -19337.6562 6868.40430 0.952862084 29.9723816 37.9650192 43.9594955
11400.0000 50211.4375 140.611832 106.977837 1716.36670 4917.37549 454.655945 526.536499 315.545563 54.7610893 1351.49915 -2660.06372 -77.3675308 25567.6973 -19341.7578 6712.08008 0.949259520 30.0102501 38.0129852 44.0150337
11600.0000 49869.3438 139.463486 -226.311935 1702.34949 4849.30420 432.695618 499.336884 324.307159 53.6899796 1310.02954 -2677.97363 -77.8982544 25559.6211 -19342.3730 6387.05859 0.955771267 29.9419422 37.9264603 43.9148483
11800.0000 49636.9609 140.149445 -590.852234 1710.72266 4875.07031 451.776367 517.774109 310.382843 55.9103966 1335.84375 -2694.13916 -78.2629547 25574.2988 -19340.9336 6158.07227 0.960245848 29.8953609 37.8674583 43.8465271
12000.0000 49682.0156 140.939880 -322.010162 1720.37097 4825.93701 430.879547 525.315125 302.756012 53.2460556 1312.19678 -2693.40308 -78.1919708 25551.6953 -19344.5527 6312.99170 0.959374964 29.9044037 37.8789139 43.8597946
12200.0000 49793.5625 138.856644 159.258240 1694.94214 4841.19141 435.571014 515.087769 310.557465 54.9677849 1316.18396 -2705.87061 -78.0168076 25571.5137 -19340.6348 6651.78516 0.957225800 29.9267673 37.9072380 43.8925934
12400.0000 49723.4375 138.924042 487.884888 1695.76465 4880.84082 450.613190 519.259460 308.491730 57.9678879 1336.33228 -2659.28638 -78.1268311 25548.3926 -19344.5977 6930.40283 0.958575785 29.9127121 37.8894348 43.8719788
12600.0000 50010.3203 139.138840 -269.511017 1698.38672 4852.32031 440.214752 513.537659 307.482513 51.0498238 1312.28467 -2676.61499 -77.6786652 25561.7969 -19345.1465 6354.13965 0.953077018 29.9701290 37.9621658 43.9561882
12800.0000 49690.4023 141.403976 175.137924 1726.03601 4827.56592 441.942932 491.823822 312.060089 52.6662598 1298.49304 -2660.01978 -78.1787796 25531.4082 -19342.3164 6680.52148 0.959213078 29.9060860 37.8810425 43.8622589
13000.0000 49891.3086 139.011185 -355.150604 1696.82837 4846.40771 441.716736 516.118103 311.859497 56.0204391 1325.71484 -2690.72778 -77.8639603 25554.2695 -19342.8496 6284.82373 0.955350399 29.9463367 37.9320259 43.9212952
13200.0000 49591.1445 141.248398 104.188019 1724.13684 4861.84424 452.484161 509.203918 321.563019 56.6295853 1339.88074 -2683.01733 -78.3352585 25550.0586 -19345.0762 6661.33350 0.961133003 29.8861599 37.8558044 43.8330345
13400.0000 49274.5117 142.250656 37.0062180 1736.37085 4783.13330 436.400665 510.587921 291.706940 51.5923233 1290.28784 -2698.00952 -78.8386230 25533.3066 -19342.4512 6546.09766 0.967309117 29.8224182 37.7750626 43.7395477
13600.0000 49517.0273 139.398041 -188.463028 1701.55066 4795.71289 424.603027 512.258545 313.217346 53.3096008 1303.38855 -2697.82812 -78.4525070 25534.4492 -19344.2969 6361.16406 0.962571561 29.8712635 37.8369331 43.8111877
13800.0000 49469.4727 139.350967 635.292542 1700.97595 4869.65088 450.604645 528.078979 325.722992 56.3817253 1360.78833 -2692.12134 -78.5279236 25544.9453 -19343.9629 7028.96631 0.963496923 29.8616982 37.8248177 43.7971573
14000.0000 49451.0156 139.401703 1375.32129 1701.59534 4837.78564 450.729950 505.725586 320.055389 49.2888069 1325.79968 -2700.56421 -78.5572281 25555.2031 -19342.6523 7531.25244 0.963856518 29.8579845 37.8201141 43.7917099
14200.0000 49441.8750 140.363632 243.634384 1713.33704 4805.11182 443.950348 519.240051 310.412994 58.1181984 1331.72156 -2708.21558 -78.5717545 25527.8496 -19346.2422 6694.12402 0.964034736 29.8561440 37.8177834 43.7890129
14400.0000 49197.7305 138.815170 -960.781128 1694.43591 4762.53418 455.119812 517.196533 296.558594 50.7746582 1319.64966 -2728.15332 -78.9616699 25515.5938 -19344.5547 5767.61133 0.968818784 29.8069191 37.7554321 43.7168159
14600.0000 49112.1328 141.362305 -1134.19275 1725.52722 4772.32471 457.610962 520.966248 298.351624 50.8129158 1327.74170 -2737.27100 -79.0992889 25526.4805 -19344.6270 5685.48633 0.970507324 29.7896233 37.7335243 43.6914482
14800.0000 49357.8281 138.903992 89.5446625 1695.52014 4819.99756 450.989380 531.106628 300.743469 52.1714554 1335.01086 -2716.04126 -78.7055435 25546.2539 -19345.2266 6579.97510 0.965676248 29.8392181 37.7963409 43.7641869
15000.0000 49643.9336 141.843933 736.979187 1731.40625 4802.31201 452.363220 495.363281 317.022736 49.5435829 1314.29285 -2703.05249 -78.2519531 25537.7520 -19346.6797 7067.29541 0.960110962 29.8967609 37.8692322 43.8485832
15200.0000 49344.1875 139.663818 1102.78369 1704.79492 4846.14648 444.501495 524.063782 318.263123 59.5071259 1346.33545 -2701.04492 -78.7273102 25546.9375 -19346.0801 7344.54248 0.965943277 29.8364677 37.7928581 43.7601547
15400.0000 49609.6055 137.578827 18.9866009 1679.34448 4817.57666 454.042969 511.727661 314.099182 55.0019722 1334.87183 -2712.13965 -78.3060989 25539.4629 -19344.6172 6510.65771 0.960775316 29.8898697 37.8605003 43.8384743
15600.0000 49463.8555 142.871216 191.557846 1743.94556 4820.25928 455.159363 503.645721 321.722137 56.0793419 1336.60657 -2680.26978 -78.5368423 25509.7500 -19345.8262 6702.39111 0.963606358 29.8605671 37.8233871 43.7955017
15800.0000 49587.3438 141.946335 -504.095825 1732.65625 4772.93213 445.627228 495.723419 299.764648 50.6655807 1291.78088 -2723.44727 -78.3412552 25548.2969 -19343.6973 6141.03613 0.961206615 29.8853970 37.8548355 43.8319168
16000.0000 49397.5508 139.398422 -18.9502010 1701.55530 4806.88672 447.749573 508.158997 323.793152 54.5120888 1334.21375 -2708.69629 -78.6422577 25528.4180 -19347.0488 6494.79004 0.964899719 29.8472195 37.8064804 43.7759247
16200.0000 49223.4375 141.864304 391.612183 1731.65491 4812.91895 459.575714 525.800842 302.582123 51.6436958 1339.60242 -2695.31030 -78.9204330 25512.5586 -19343.9316 6825.70215 0.968312800 29.8121109 37.7620087 43.7244301
16400.0000 49479.5117 138.641937 122.984413 1692.32117 4806.85400 451.240601 487.744019 320.482605 52.6032562 1312.07056 -2691.00073 -78.5119858 25529.3184 -19343.5332 6587.92188 0.963301420 29.8637199 37.8273773 43.8001213
16600.0000 49388.2930 137.210052 -415.349457 1674.84314 4817.03320 459.410461 518.045288 309.843628 55.6756439 1342.97498 -2712.71924 -78.6569977 25533.2988 -19346.5215 6192.70947 0.965080619 29.8453541 37.8041153 43.7731857
