Step Volume Temp Press KinEng PotEng E_bond E_angle E_dihed E_impro E_mol E_vdwl E_tail E_coul E_long Enthalpy Density Cella Cellb Cellc CellAlpha CellBeta CellGamma
53.0000000 41387.5352 118.153847 989.790710 1442.23511 2161.33862 13.2533617 152.292175 5.35868216 0.636570930 171.540787 -3680.73242 -93.8624344 25372.5371 -19702.0078 4201.00635 1.15164340 27.8799992 38.0559998 39.0079994 90.0000000 90.0000000 90.0000000
200.000000 41820.3242 75.1068420 2316.76050 916.785461 2867.39233 199.769424 394.187775 119.685539 28.7127571 742.355469 -3580.32690 -92.8910751 25405.6406 -19700.2773 5197.18506 1.13972545 27.7533207 38.5400963 39.0988388 90.0075378 89.8759003 89.7794800
400.000000 42600.6602 95.9399185 1350.37952 1171.08264 3005.08008 220.450516 221.569168 250.167114 22.4110279 714.597839 -3513.66968 -91.1895447 25503.3301 -19699.1777 5015.13623 1.11884844 27.5538349 39.2453384 39.3977737 90.1458359 89.7949219 89.4338226
600.000000 41781.8945 125.372459 323.478973 1530.34851 3110.82373 248.899155 327.010193 155.165970 15.0101528 746.085449 -3400.65625 -92.9765167 25464.1641 -19698.7695 4838.28271 1.14077365 27.3532085 38.9904480 39.1806870 90.5619202 89.9022827 89.3397369
800.000000 42922.7188 115.888206 -6775.75879 1414.57996 3635.19971 538.596680 460.075134 187.203033 38.4496117 1224.32446 -3415.20923 -90.5053329 25525.4043 -19699.3203 808.264099 1.11045349 27.5957546 39.4460182 39.4324913 90.0556335 90.2133331 89.6264420
1000.00000 43102.7695 116.875923 -9328.46094 1426.63635 3838.36670 593.959167 515.437317 332.263489 21.5528755 1463.21289 -3311.59082 -90.1272659 25387.4590 -19700.7148 -598.958252 1.10581493 27.6633301 39.4948387 39.4531441 89.7207489 90.2512054 89.5765457
1200.00000 42513.1562 108.862091 366.999939 1328.81604 3744.03418 323.667664 709.748413 347.560059 44.9217911 1425.89795 -3407.95776 -91.3772430 25425.0098 -19698.9141 5300.39453 1.12115145 27.8017445 38.9401054 39.2737236 89.9133377 90.2038879 89.1788788
1400.00000 42748.1758 113.180183 4036.55396 1381.52454 3700.07715 355.377808 606.216553 362.430084 15.3367338 1339.36121 -3442.91553 -90.8748703 25498.6270 -19694.9941 7598.14404 1.11498761 27.8029976 39.0221176 39.4035606 90.3513412 90.2569122 89.6548386
1600.00000 42562.4492 121.110039 470.321442 1478.31958 3705.22729 461.491486 638.908447 254.247925 34.9135818 1389.56152 -3423.06738 -91.2714157 25434.8750 -19696.1426 5475.48926 1.11985290 27.7873096 39.1398888 39.1354828 90.0254211 90.1885223 89.6575317
1800.00000 42827.3867 104.811783 -6612.98535 1279.37634 3788.42627 433.892792 585.979065 319.754486 28.7235508 1368.34985 -3421.76221 -90.7067871 25538.9277 -19697.0898 937.374878 1.11292529 27.8447323 39.2217293 39.2162209 89.7596588 90.0670624 89.6147385
2000.00000 42734.8242 120.059174 198.075806 1465.49231 3621.34473 527.756165 398.446411 303.038116 34.6179047 1263.85864 -3390.53223 -90.9032669 25446.8848 -19698.8652 5210.28662 1.11533594 27.7494583 39.2971649 39.1898613 90.3251190 90.0022049 89.9065247
2200.00000 43044.1094 111.494751 5087.88379 1360.95142 3785.83911 413.785950 548.357300 430.327148 35.9965134 1428.46692 -3438.90039 -90.2500916 25492.1465 -19695.8730 8340.73145 1.10732186 27.6992702 39.5009041 39.3435020 89.2893295 89.9879227 89.8650818
2400.00000 43237.4141 120.113152 9030.21680 1466.15125 3751.98315 616.296936 470.727203 286.626526 60.7791138 1434.42981 -3455.39380 -89.8466034 25469.9746 -19697.0273 10912.3486 1.10237134 27.5562553 39.6379433 39.5848846 89.9446716 90.0079880 89.8907928
2600.00000 42463.2578 121.608261 5892.79980 1484.40125 3556.84277 333.396973 468.409485 257.389008 24.2773132 1083.47278 -3341.98169 -91.4846191 25514.0801 -19698.7285 8690.55469 1.12246895 27.5719032 39.3237648 39.1669617 89.3605270 89.8933334 90.0935135
2800.00000 42509.6484 111.713127 2092.25439 1363.61707 3654.53760 385.116425 376.491882 431.351044 46.2010307 1239.16040 -3346.90063 -91.3847733 25460.5879 -19698.3086 6315.26807 1.12124395 27.6623516 39.1130295 39.2910461 89.5366669 89.9782562 89.8090515
3000.00000 43165.1172 129.106857 -2112.34937 1575.93213 3651.44751 533.987366 471.238068 275.143433 49.1282425 1329.49707 -3407.39722 -89.9970856 25427.8789 -19698.5293 3897.61548 1.10421765 27.7535057 39.3343048 39.5419121 89.6513519 89.9494629 89.7012177
3200.00000 42580.7148 120.135674 2310.39111 1466.42615 3628.25293 364.982056 573.253784 355.603546 34.4295883 1328.26904 -3489.62207 -91.2322617 25489.4258 -19699.8203 6529.42285 1.11937261 27.7233791 39.1309776 39.2508545 90.1899567 89.9030151 89.9723892
3400.00000 42501.4766 117.297302 -56.9386368 1431.77979 3584.30640 336.520386 574.252075 291.871338 43.6529770 1246.29675 -3346.49170 -91.4023514 25383.6914 -19699.1895 4980.79346 1.12145948 27.7684441 38.9662361 39.2800331 90.3051834 89.9208527 90.1411667
3600.00000 42985.6758 121.877441 -2222.34399 1487.68677 3713.93066 479.658051 483.887390 294.212769 60.3271065 1318.08533 -3346.96484 -90.3727798 25441.0273 -19698.2188 3808.42578 1.10882723 27.7859192 38.9864616 39.6815567 90.0791779 89.8981705 89.8090744
3800.00000 42779.1992 112.307053 -3248.02271 1370.86670 3760.91431 412.667664 531.847046 339.094971 42.9359398 1326.54565 -3372.29028 -90.8089676 25503.4473 -19696.7871 3105.36987 1.11417902 27.6681519 38.8598747 39.7882538 89.8353119 89.9234009 89.8459015
4000.00000 42724.0547 120.307137 -1484.52808 1468.51917 3611.62842 455.564819 389.149841 263.828217 43.7279510 1152.27075 -3412.74536 -90.9261780 25571.0781 -19698.9766 4155.15820 1.11561716 27.5677147 38.7587967 39.9868011 89.5619125 90.0001602 89.8019943
4200.00000 42441.2695 128.003006 3426.89209 1562.45801 3537.18896 358.558319 579.693787 221.197479 22.4059811 1181.85547 -3294.58350 -91.5320206 25348.0176 -19698.1016 7220.76416 1.12305045 27.5123672 38.8832588 39.6736298 90.0210342 90.0047302 89.7477188
4400.00000 43236.3945 133.347458 -3837.36719 1627.69470 3530.47241 337.413208 503.894836 374.758606 39.9063148 1255.97302 -3484.11108 -89.8487244 25456.0391 -19697.4297 2738.48267 1.10239720 27.6919632 39.1084213 39.9240074 90.0720062 89.9194946 89.6539993
4600.00000 42773.9766 126.013023 -1662.96826 1538.16748 3625.61230 498.213379 381.482239 394.832184 81.6436920 1356.17151 -3475.54395 -90.8200531 25443.9844 -19699.0000 4126.39600 1.11431503 27.6893864 39.0077400 39.6026688 90.2439346 89.8171692 89.7947769
4800.00000 42605.2539 117.922943 -4175.28809 1439.41663 3638.19507 362.534332 442.141632 395.600616 44.9323578 1245.20886 -3406.53198 -91.1797180 25494.1699 -19694.6504 2483.27979 1.11872780 27.6879406 38.8942375 39.5645027 90.4036560 89.7079010 89.8259430
5000.00000 43202.5625 122.069839 -2215.81030 1490.03540 3656.99121 534.401184 453.773651 234.569092 49.7597237 1272.50354 -3390.52954 -89.9190903 25473.7969 -19698.7793 3750.92188 1.10326064 27.7539673 39.0723724 39.8453712 90.7843170 89.5903244 89.5897217
5200.00000 42717.0977 115.343079 -3914.61401 1407.92578 3737.88281 583.707153 471.394684 338.959930 71.7456818 1465.80750 -3469.10889 -90.9409866 25439.1621 -19697.9785 2707.06250 1.11579871 27.5512600 39.0344887 39.7207947 90.0694580 89.8527222 89.7418518
5400.00000 42729.3789 109.342262 174.908997 1334.67725 3765.13232 403.996277 559.090820 427.888458 51.4692078 1442.44482 -3372.45215 -90.9148483 25391.5723 -19696.4336 5208.80664 1.11547816 27.5824966 38.9388466 39.7845039 90.1708679 89.9136658 90.1575089
5600.00000 42887.6367 114.611954 2182.60913 1399.00134 3745.85742 504.304230 535.289307 258.386902 62.5873604 1360.56775 -3459.87598 -90.5793610 25542.0625 -19696.8965 6510.02002 1.11136174 27.6203461 38.9258080 39.8915405 89.5204163 90.0530090 89.9766159
5800.00000 42473.7734 116.220688 7931.74268 1418.63818 3678.65259 457.550659 422.339844 284.455231 58.8877068 1223.23340 -3331.99585 -91.4619675 25481.8867 -19694.4727 10010.5010 1.12219095 27.6373653 38.6763382 39.7361794 89.9691238 90.2352371 89.7694550
6000.00000 43051.1523 122.940811 2360.74341 1500.66675 3650.37231 358.112335 503.515839 302.576935 50.4847183 1214.68982 -3417.48975 -90.2353287 25547.8184 -19694.6465 6633.24805 1.10714066 27.7086182 38.9861984 39.8543167 90.4023132 90.2649536 90.1199875
6200.00000 42524.3984 123.738503 -218.326248 1510.40369 3632.82373 410.508026 576.140259 347.128143 42.3672981 1376.14380 -3434.12500 -91.3530807 25385.3203 -19694.5156 5007.82715 1.12085497 27.4904823 38.9218979 39.7441788 89.9623184 90.2025528 90.3660355
6400.00000 42692.6289 117.691017 437.904266 1436.58569 3644.80054 352.996857 560.944397 265.126709 39.7200356 1218.78796 -3368.01465 -90.9931030 25493.2422 -19699.2168 5354.03809 1.11643815 27.5645008 38.9768906 39.7399254 90.0815048 90.1509781 90.6680145
6600.00000 42606.8438 105.900269 450.243500 1292.66284 3825.57202 513.262634 511.609955 333.647705 53.9222488 1412.44250 -3401.25928 -91.1763077 25513.1191 -19698.7305 5398.00586 1.11868608 27.5196342 39.1197014 39.5804482 90.5933762 90.2563477 90.4213791
6800.00000 42255.3633 127.929787 -3065.19897 1561.56445 3561.46533 415.508362 506.720703 239.678268 37.6922684 1199.59961 -3331.41211 -91.9347229 25391.8281 -19698.5508 3234.09741 1.12799144 27.4106216 39.0176315 39.5144615 90.6337509 90.3081894 90.5626831
7000.00000 43010.7305 98.4381485 -7199.94580 1201.57715 3888.83423 501.832214 609.700195 340.937592 44.3923759 1496.86243 -3385.20410 -90.3201370 25475.7676 -19698.5918 574.120239 1.10818136 27.5205154 39.6705093 39.4002571 90.4795685 90.2419052 90.6428146
7200.00000 42447.5625 108.487358 3013.15430 1324.24194 3781.29932 442.759186 574.019775 260.460754 48.6319046 1325.87158 -3330.62256 -91.5184479 25481.2852 -19695.2363 6970.84717 1.12288392 27.4619808 39.4350853 39.1978569 90.1599045 90.1341782 90.5672989
7400.00000 42387.2656 128.828125 5361.44287 1572.52991 3530.37134 375.291504 527.309204 243.921448 38.6911774 1185.21326 -3412.33447 -91.6486359 25453.9199 -19696.4258 8417.20996 1.12448120 27.5633335 39.4195061 39.0122910 89.9146500 90.1225204 90.3367386
7600.00000 42954.3047 111.979431 929.957397 1366.86768 3742.92090 494.963684 568.344727 295.595001 42.5857468 1401.48914 -3476.48071 -90.4387817 25515.7012 -19697.7891 5692.35498 1.10963702 27.5456657 39.5897713 39.3900948 90.0207367 90.0482712 90.4983063
7800.00000 42583.1211 115.178032 -7163.22217 1405.91113 3726.77222 488.167664 534.021301 324.473022 53.4215927 1400.08362 -3462.09009 -91.2271042 25487.4375 -19698.6582 684.099243 1.11930931 27.4692974 39.5927887 39.1571884 89.8341064 90.2381973 90.6968918
