Step Volume Temp Press KinEng PotEng E_bond E_angle E_dihed E_impro E_mol E_vdwl E_tail E_coul E_long Enthalpy Density Cella Cellb Cellc CellAlpha CellBeta CellGamma
53.0000000 41387.5352 187.076920 1919.00562 2283.53906 2161.33862 13.2533617 152.292175 5.35868216 0.636570930 171.540787 -3680.73242 -93.8624344 25372.5371 -19702.0078 5603.17920 1.15164340 27.8799992 38.0559998 39.0079994 90.0000000 90.0000000 90.0000000
200.000000 42095.4023 117.753563 3505.32544 1437.34912 3294.81226 318.929077 509.996521 191.395279 45.5138054 1065.83472 -3505.49463 -92.2840652 25433.5723 -19699.0996 6884.14453 1.13227773 27.8868141 38.4955826 39.2127190 90.0209427 89.9024658 89.8501587
400.000000 43411.7773 151.972977 2170.32568 1855.04553 3495.68970 296.636292 289.638794 389.353943 37.3790245 1013.00812 -3418.41821 -89.4857407 25598.4395 -19697.3398 6724.80371 1.09794366 27.8893452 39.2255630 39.6840134 90.1189804 89.7765427 89.5871964
600.000000 42565.5664 185.665924 2075.99487 2266.31567 3827.70776 396.419861 443.016876 335.525757 56.6491203 1231.61157 -3263.94629 -91.2647324 25557.2070 -19697.1641 7382.74902 1.11977088 27.6980305 38.8117828 39.5991211 90.5019531 89.8283539 89.4374542
800.000000 43676.4141 188.618362 -5915.25537 2302.35449 4453.94434 734.742920 630.494080 423.838593 78.7981033 1867.87366 -3320.97461 -88.9435349 25602.8281 -19695.7832 2988.42456 1.09129107 27.9061680 39.1227493 40.0058861 90.0094757 90.0496063 89.6910324
1000.00000 44046.1602 207.414383 -10245.5586 2531.78662 4554.28760 978.096619 690.126160 288.623016 12.9636478 1969.80945 -3185.46338 -88.1968994 25463.4277 -19693.4863 504.654175 1.08213019 28.0942268 39.2456436 39.9491425 89.8142166 89.9739151 89.7097168
1200.00000 44239.2891 163.521210 -1956.92407 1996.00806 4932.99902 678.735291 1087.15308 468.689789 86.4788361 2321.05688 -3149.32153 -87.8118744 25456.7090 -19695.4453 5666.42969 1.07740617 28.2143307 39.0354881 40.1697960 90.3151169 89.8748550 89.5533066
1400.00000 43926.5352 184.165146 1583.04175 2247.99658 4523.74609 615.414368 816.841309 501.510529 46.6159935 1980.38220 -3248.39819 -88.4370804 25490.7695 -19699.0059 7785.87646 1.08507717 28.2310696 38.7722321 40.1330566 90.0751190 89.9795837 89.4105530
1600.00000 43974.6992 181.707886 3704.51636 2218.00220 4688.45410 714.506042 726.912354 507.156738 67.3148193 2015.89001 -3120.97119 -88.3402252 25487.4668 -19693.9316 9282.25781 1.08388877 27.9737301 39.0287361 40.2790680 90.3475342 89.9485397 89.7779770
1800.00000 44442.1875 158.814896 -7855.75635 1938.56091 5061.40820 855.901550 926.532532 360.646667 41.4040604 2184.48486 -3194.48511 -87.4109726 25766.6504 -19695.2402 1908.30994 1.07248735 27.9152832 39.2030640 40.6117592 90.5222855 90.0436478 89.9351807
2000.00000 43860.3281 209.551041 309.318939 2557.86743 4345.83447 444.778381 709.393188 389.188324 91.4402847 1634.80017 -3153.91553 -88.5705795 25556.8223 -19691.8730 7101.56006 1.08671522 28.0639343 38.8126755 40.2688599 90.5099106 90.0289307 89.8122101
2200.00000 44661.0469 180.922165 6963.32568 2208.41138 4650.01953 630.258667 949.135559 382.554779 36.5038605 1998.45288 -3222.67871 -86.9826202 25571.1113 -19696.8652 11393.8916 1.06723166 28.2496681 38.7862473 40.7612953 90.1719589 90.2732315 89.7761688
2400.00000 44623.9492 210.100876 14889.5078 2564.57910 4402.30811 683.497009 674.062622 291.976654 33.1541519 1682.69043 -3184.91943 -87.0549316 25598.3379 -19693.8008 16656.8984 1.06811893 28.0119629 38.8231544 41.0366554 89.7580948 90.5098267 89.4914322
2600.00000 44724.1680 170.910431 6127.21436 2086.20410 4855.94482 620.928528 547.419434 488.566528 77.1670074 1734.08154 -2971.42969 -86.8598557 25786.1680 -19692.8750 10938.6621 1.06572545 27.9369240 38.8867683 41.1742897 89.6581573 90.5644302 89.2710571
2800.00000 45202.0273 175.055252 -6653.64307 2136.79736 4977.87842 901.278748 587.413879 646.401733 75.0668335 2210.16113 -3109.54761 -85.9416046 25568.8828 -19691.6172 2728.42651 1.05445898 28.0204983 38.8763962 41.5000954 89.8405991 90.4702606 89.2564545
3000.00000 45263.1953 177.839691 -7553.34180 2170.78540 4914.82422 819.402344 898.623230 461.536346 53.3255234 2232.88745 -3190.01074 -85.8254623 25566.2031 -19694.2559 2099.51831 1.05303395 27.9356136 38.5418816 42.0451660 89.4399109 90.4510345 89.3561783
3200.00000 44886.3594 197.029953 4957.37061 2405.02979 4654.69287 705.849365 860.345703 409.272186 54.9713554 2030.43860 -3321.37231 -86.5459976 25637.9258 -19692.2988 10304.9238 1.06187451 27.7932854 38.5200996 41.9307518 89.5858688 90.4261017 89.4239883
