Step Volume Temp Press KinEng PotEng E_bond E_angle E_dihed E_impro E_mol E_vdwl E_tail E_coul E_long Enthalpy Density Cella Cellb Cellc CellAlpha CellBeta CellGamma
3800.00000 45347.4102 203.745667 -10824.7334 2487.00439 4957.45752 838.116028 789.293152 423.320862 49.6734467 2100.40356 -3001.84253 -85.6660843 25541.6953 -19682.7988 285.574127 1.05107844 28.1690445 39.4654160 40.7921753 90.1697998 90.3467560 90.2227554
4000.00000 45442.2617 197.932526 -12003.7500 2416.04712 4805.19629 995.356934 646.523560 332.959991 104.219810 2079.06030 -3148.92871 -85.4872742 25569.5723 -19694.5078 -733.987244 1.04888451 28.0835018 39.5839539 40.8806839 90.5558624 90.1958923 90.2907333
4200.00000 44523.4453 223.316406 -4125.89941 2725.89331 4231.61914 647.645996 702.164185 313.209320 18.8671188 1681.88660 -3218.26221 -87.2514496 25459.5020 -19691.5078 4278.44727 1.07053006 28.0065174 39.2838478 40.4686966 89.9775696 90.0911407 90.2126007
4400.00000 44533.8047 181.469437 3465.63501 2215.09180 4968.44629 875.247192 840.831787 498.907898 113.128441 2328.11523 -3096.00659 -87.2311478 25430.7305 -19694.3926 9434.39844 1.07028103 27.8525562 39.6354866 40.3423767 89.9313660 90.2712402 90.4880905
4600.00000 44552.3477 226.986954 -830.015625 2770.69751 4609.33936 631.296448 655.927368 470.287476 31.5743999 1789.08569 -3238.65283 -87.1948471 25756.2344 -19697.3281 6840.73389 1.06983554 27.9345646 39.6142120 40.2650604 90.5512772 90.3401489 90.5856400
4800.00000 44041.8594 199.848236 -6015.40430 2439.43091 4686.14502 620.688477 779.424927 424.053406 89.3797302 1913.54663 -3212.22217 -88.2055130 25677.6641 -19692.8438 3261.84961 1.08223605 27.8972759 39.1559906 40.3216591 90.1339493 90.3294296 90.6067047
5000.00000 44281.0938 189.816147 872.333679 2316.97510 4957.75781 878.552795 644.231995 585.063477 37.6972771 2145.54565 -3151.75757 -87.7289734 25659.8965 -19695.9277 7838.08105 1.07638896 27.8369656 39.1949844 40.5868225 90.4221649 90.2493515 90.2166061
5200.00000 44122.2695 210.782471 2929.98193 2572.89868 4542.24170 719.946167 787.260376 416.654388 70.1582108 1994.01917 -3325.01221 -88.0447617 25570.1973 -19696.9629 9000.51953 1.08026361 27.7167149 39.1601906 40.6513824 90.1867065 90.1212921 90.1041794
5400.00000 43816.5586 180.342560 11897.5244 2201.33643 4886.39453 726.707886 848.121399 484.749695 68.5072708 2128.08618 -3045.02832 -88.6590576 25500.0879 -19696.7520 14690.4824 1.08780074 27.7158489 39.0596123 40.4767036 90.3593445 90.3869247 90.2581558
5600.00000 44649.7148 182.537155 -2395.43384 2228.12451 5100.58301 783.921936 906.999939 623.966309 35.8011360 2350.68921 -3152.81372 -87.0046997 25598.7285 -19696.0215 5768.87207 1.06750250 27.8934536 39.2956505 40.7371483 90.0807648 90.4584351 90.2559891
