Step Volume Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long
1900200.00 47361.8398 48132.9297 2446.60669 3042.91870 38736.0898 2909.37720 53.4732819 -8.20220375 271.390045 -191.321732
1900400.00 47361.8398 47931.6055 2449.70679 3039.01123 38596.2227 2916.78076 42.1306229 -8.20220375 271.553375 -191.453522
1900600.00 47361.8398 48063.5938 2403.39111 3007.99561 38610.0586 2886.46948 41.7917099 -8.20220375 271.356201 -191.621841
1900800.00 47361.8398 48262.9180 2404.98804 3082.56226 38823.8984 2962.19751 40.6847725 -8.20220375 271.284027 -191.604034
1901000.00 47361.8398 48499.5156 2474.98486 2997.71997 38972.4766 2891.88184 26.5178223 -8.20220375 270.824127 -191.503754
1901200.00 47361.8398 47768.8281 2421.36060 3016.08618 38432.5156 2888.39844 49.0242882 -8.20220375 270.235870 -191.572372
1901400.00 47361.8398 47856.5977 2465.09961 3010.62671 38531.4219 2899.59839 31.8114738 -8.20220375 270.801453 -191.584534
1901600.00 47361.8398 48463.4648 2394.29199 3014.99170 38884.1523 2876.11060 59.1393166 -8.20220375 271.292786 -191.550903
1901800.00 47361.8398 47880.1484 2511.14429 2969.44238 38552.5469 2848.90088 41.3753128 -8.20220375 270.778717 -191.612488
1902000.00 47361.8398 48393.6172 2421.56201 3040.18140 38888.3711 2910.95093 49.4197884 -8.20220375 271.563263 -191.752716
1902200.00 47361.8398 48454.3125 2403.01392 3031.50610 38903.0703 2900.99219 51.0688667 -8.20220375 271.206909 -191.761856
1902400.00 47361.8398 48995.7422 2518.40161 3041.84961 39402.7812 2906.55469 56.5144806 -8.20220375 270.464722 -191.684479
1902600.00 47361.8398 48132.3320 2461.87183 2962.07422 38670.0938 2852.08350 30.2596149 -8.20220375 271.247040 -191.515930
1902800.00 47361.8398 47672.7344 2432.56079 2998.30078 38359.5586 2862.48413 56.0576248 -8.20220375 270.983551 -191.224426
1903000.00 47361.8398 48027.5312 2491.73071 3003.41431 38668.9062 2906.28003 17.3516865 -8.20220375 270.911346 -191.128845
1903200.00 47361.8398 48206.4023 2415.91309 3017.41113 38730.6367 2897.18799 40.3129730 -8.20220375 271.129944 -191.219681
1903400.00 47361.8398 47981.4961 2489.80615 2990.14868 38621.9180 2892.48389 18.6845112 -8.20220375 270.512634 -191.532425
1903600.00 47361.8398 48415.7656 2405.40381 3002.43701 38849.7656 2879.79419 43.8230362 -8.20220375 270.442230 -191.622345
1903800.00 47361.8398 48066.9570 2443.06592 3004.53833 38648.5977 2885.10229 40.4855576 -8.20220375 270.601776 -191.651184
1904000.00 47361.8398 48098.8359 2462.08960 2992.64014 38677.7422 2854.54858 59.0636597 -8.20220375 270.976440 -191.948654
1904200.00 47361.8398 47985.5977 2418.11938 2977.79248 38540.7109 2853.87769 44.7448883 -8.20220375 270.862762 -191.692947
1904400.00 47361.8398 48405.7617 2452.03223 2986.34790 38873.3945 2861.75977 44.9526787 -8.20220375 271.205811 -191.570557
1904600.00 47361.8398 47787.4727 2459.58228 2995.28857 38462.8164 2870.53076 45.4227257 -8.20220375 270.996918 -191.661728
1904800.00 47361.8398 47513.0898 2382.34619 2987.32349 38188.0938 2893.21851 15.2423868 -8.20220375 270.570862 -191.708115
1905000.00 47361.8398 48563.6836 2403.18799 3020.15063 38967.4336 2905.06812 35.7828941 -8.20220375 270.919281 -191.619690
1905200.00 47361.8398 48519.6094 2448.86377 3060.63696 39023.1523 2933.00757 48.8319550 -8.20220375 270.579620 -191.782089
1905400.00 47361.8398 47732.4531 2427.13940 2976.66064 38373.7422 2867.74438 30.0239868 -8.20220375 270.454163 -191.562012
1905600.00 47361.8398 47103.1172 2454.93164 2930.82300 37921.0000 2822.53540 28.6633835 -8.20220375 271.075562 -191.451355
1905800.00 47361.8398 48347.9141 2431.29590 3075.18164 38901.5352 2923.72412 71.3704910 -8.20220375 271.337097 -191.250214
1906000.00 47361.8398 47645.0547 2409.20801 2999.62817 38318.4102 2889.01294 30.4056759 -8.20220375 271.450012 -191.240524
1906200.00 47361.8398 47210.1406 2408.10620 2962.12061 37979.3984 2856.70068 26.4925632 -8.20220375 270.248169 -191.320679
1906400.00 47361.8398 48200.1953 2458.66772 3040.08423 38791.7773 2922.47632 37.8031082 -8.20220375 271.206268 -191.401474
1906600.00 47361.8398 48654.7227 2423.09717 3022.34009 39052.4141 2927.35864 14.5998011 -8.20220375 271.735199 -191.353546
1906800.00 47361.8398 49117.5938 2458.42920 3054.05933 39439.1836 2947.62622 26.4202328 -8.20220375 271.424683 -191.411758
1907000.00 47361.8398 47879.9766 2422.56323 3031.30518 38525.7109 2909.98340 40.5901604 -8.20220375 271.945557 -191.213882
1907200.00 47361.8398 48425.2188 2406.07910 3043.68262 38898.2148 2934.98047 28.2091885 -8.20220375 271.808502 -191.315567
1907400.00 47361.8398 50019.6523 2443.42310 3175.41968 40168.6094 3040.75342 54.9319115 -8.20220375 271.114838 -191.380630
1907600.00 47361.8398 49336.4883 2427.67139 3061.34741 39566.9102 2933.19775 48.0641098 -8.20220375 271.395386 -191.309814
1907800.00 47361.8398 48112.3789 2425.81592 3028.79810 38686.9844 2901.58423 46.3099823 -8.20220375 271.979828 -191.075943
1908000.00 47361.8398 47977.3555 2498.65479 3044.61426 38682.3711 2929.30762 34.3879967 -8.20220375 271.998260 -191.079651
1908200.00 47361.8398 48414.3047 2457.68701 3022.99365 38921.5977 2910.67529 31.3951855 -8.20220375 272.091675 -191.168457
1908400.00 47361.8398 46958.0508 2437.05444 2945.22632 37817.3281 2816.91553 48.0082169 -8.20220375 271.639343 -191.336914
1908600.00 47361.8398 45984.8008 2458.37305 2938.41821 37159.5898 2828.60767 29.8477459 -8.20220375 271.129089 -191.166306
1908800.00 47361.8398 47764.3633 2395.31445 2984.66797 38371.9688 2852.18042 52.5620308 -8.20220375 271.062500 -191.137192
1909000.00 47361.8398 49112.4062 2444.88574 3067.04858 39435.0469 2932.17529 54.8877983 -8.20220375 271.049866 -191.064499
1909200.00 47361.8398 48239.8125 2434.57812 3036.60474 38791.5742 2880.78687 75.7969666 -8.20220375 271.061615 -191.040802
1909400.00 47361.8398 47777.4258 2424.93237 3008.15601 38434.0977 2874.96021 52.6436348 -8.20220375 271.461426 -190.909286
1909600.00 47361.8398 49258.4258 2423.78516 2975.79736 39423.5508 2855.55127 40.2011452 -8.20220375 271.160858 -191.115875
1909800.00 47361.8398 49853.4023 2427.72217 3091.52783 39954.1836 2964.38574 47.3181343 -8.20220375 270.936035 -191.112198
1910000.00 47361.8398 48806.0117 2472.40479 3005.95020 39189.8320 2897.78149 27.8358288 -8.20220375 271.552338 -191.219528
1910200.00 47361.8398 48451.8672 2427.45459 2987.05859 38881.3711 2880.42505 26.6443214 -8.20220375 271.352692 -191.363464
1910400.00 47361.8398 48951.4062 2464.45142 3039.82471 39316.1797 2937.95898 21.4167595 -8.20220375 271.810425 -191.361603
1910600.00 47361.8398 49353.9453 2454.01318 3077.76587 39621.7266 2945.40869 51.9826736 -8.20220375 271.769165 -191.394897
1910800.00 47361.8398 47904.7695 2423.48291 2925.64404 38438.0938 2813.78003 31.3610954 -8.20220375 271.980133 -191.477295
1911000.00 47361.8398 47392.5977 2425.78906 2975.80811 38136.7969 2861.10620 34.2794571 -8.20220375 271.860657 -191.438416
1911200.00 47361.8398 48413.1445 2422.73291 3063.07300 38925.9219 2937.58667 45.4691582 -8.20220375 271.445435 -191.428421
1911400.00 47361.8398 48677.1836 2481.98291 3039.04297 39143.5195 2914.29321 44.8349648 -8.20220375 271.340363 -191.425369
1911600.00 47361.8398 47438.0625 2465.54272 2919.96851 38152.1133 2800.14551 40.2560692 -8.20220375 270.914520 -191.347626
1911800.00 47361.8398 48771.8555 2415.98682 2986.96509 39090.8359 2860.04199 47.1467934 -8.20220375 271.021942 -191.245728
1912000.00 47361.8398 50091.1562 2468.14087 3101.57983 40168.8789 2974.78027 46.9309311 -8.20220375 271.262390 -191.393707
1912200.00 47361.8398 49262.7500 2471.93701 3043.97583 39542.8672 2922.61621 41.3637962 -8.20220375 271.198395 -191.202637
1912400.00 47361.8398 48362.0391 2448.57690 2964.46851 38817.8594 2850.27197 33.9183350 -8.20220375 271.375427 -191.097275
1912600.00 47361.8398 49254.6797 2434.98145 3072.64941 39529.0117 2943.21582 49.3767815 -8.20220375 271.215149 -191.158066
1912800.00 47361.8398 50100.0391 2411.85425 3126.03955 40143.1836 2990.20996 56.1232643 -8.20220375 271.115692 -191.409363
1913000.00 47361.8398 48617.5547 2413.41577 3016.47607 39011.1953 2884.37476 51.8939743 -8.20220375 271.482269 -191.275070
1913200.00 47361.8398 47730.2070 2475.60693 2977.17090 38421.1719 2853.73022 43.6818161 -8.20220375 271.027954 -191.269165
1913400.00 47361.8398 48751.0820 2418.78149 3063.64502 39155.9648 2939.05176 44.2859917 -8.20220375 271.459534 -191.152206
1913600.00 47361.8398 48374.1484 2440.86353 2968.46680 38822.5078 2850.20264 37.6524544 -8.20220375 271.903656 -191.291977
1913800.00 47361.8398 47393.3789 2452.98804 2985.90063 38174.6289 2862.07788 43.1158638 -8.20220375 271.812012 -191.105240
1914000.00 47361.8398 47649.0859 2442.54443 2981.31152 38336.2188 2851.64551 49.8385696 -8.20220375 271.154449 -191.326950
1914200.00 47361.8398 47919.6719 2418.89771 2973.26733 38491.4258 2858.47388 35.1613998 -8.20220375 271.178802 -191.546677
1914400.00 47361.8398 47837.1367 2442.71509 3000.03125 38484.9961 2861.06201 59.2974129 -8.20220375 271.269867 -191.597946
1914600.00 47361.8398 47565.5312 2428.23193 2952.22974 38235.1094 2818.81641 53.9267960 -8.20220375 270.973480 -191.486832
1914800.00 47361.8398 48650.1133 2452.69971 2978.28442 39034.7773 2865.88330 32.6080589 -8.20220375 271.257996 -191.464966
1915000.00 47361.8398 49253.1328 2440.83130 3082.60498 39543.7500 2957.18384 45.8073311 -8.20220375 271.153595 -191.539917
1915200.00 47361.8398 48159.8711 2400.25513 3012.57935 38678.0078 2892.64282 40.5263062 -8.20220375 270.916840 -191.506836
1915400.00 47361.8398 48289.7539 2400.52222 3020.63672 38776.0469 2907.19434 34.3747253 -8.20220375 270.682770 -191.615189
1915600.00 47361.8398 48799.1094 2434.63306 3044.11206 39185.4570 2905.38647 59.6996384 -8.20220375 270.783478 -191.757568
1915800.00 47361.8398 48211.5938 2450.72168 2976.18042 38727.8008 2863.98682 33.1388855 -8.20220375 270.776520 -191.722000
1916000.00 47361.8398 48228.0312 2407.02515 2987.39404 38706.6719 2863.90649 44.6433372 -8.20220375 270.761353 -191.917114
1916200.00 47361.8398 48843.6094 2478.22998 3021.18921 39236.8672 2904.79370 37.2271919 -8.20220375 271.025391 -191.856827
1916400.00 47361.8398 48738.4297 2402.21851 3039.16309 39106.1758 2923.94434 35.5747948 -8.20220375 271.361145 -191.717194
1916600.00 47361.8398 48171.6250 2433.40186 2952.86987 38659.5625 2855.56055 18.4142933 -8.20220375 270.660553 -191.765686
1916800.00 47361.8398 48842.6602 2488.91162 3021.11523 39246.8164 2881.58276 60.4323044 -8.20220375 270.631714 -191.531403
1917000.00 47361.8398 49400.7227 2430.83618 3030.25464 39583.3477 2902.50708 48.0999222 -8.20220375 271.100494 -191.452774
1917200.00 47361.8398 49093.6797 2428.67480 3015.10107 39353.9531 2900.33130 34.7262917 -8.20220375 271.609497 -191.565857
1917400.00 47361.8398 49115.6133 2427.43848 3087.44531 39440.2109 2957.85156 49.2455711 -8.20220375 271.883209 -191.535004
1917600.00 47361.8398 49269.7070 2426.53076 3002.05273 39460.3477 2880.41553 41.9675827 -8.20220375 271.330780 -191.661072
1917800.00 47361.8398 49116.8633 2429.50220 3010.33618 39366.0273 2904.54883 26.3759651 -8.20220375 270.849274 -191.437897
1918000.00 47361.8398 48894.7773 2448.16504 3034.86011 39255.8125 2903.32593 51.5865746 -8.20220375 271.159058 -191.211670
1918200.00 47361.8398 48542.2109 2453.12231 3026.94019 39009.3242 2901.69922 44.8229027 -8.20220375 271.660950 -191.242889
1918400.00 47361.8398 48022.2227 2408.00439 2942.87085 38520.9688 2811.94141 50.3073578 -8.20220375 271.819336 -191.197144
1918600.00 47361.8398 47679.5352 2475.41064 2954.76343 38363.5664 2827.39258 45.8411407 -8.20220375 272.237427 -190.707794
1918800.00 47361.8398 47725.6445 2448.02271 2982.38721 38395.6523 2840.90894 59.3833084 -8.20220375 272.638092 -190.543121
