Step Volume Temp Press KinEng PotEng TotEng Enthalpy E_vdwl E_tail E_coul E_long v_lbda v_scale_lj v_scale_coul c_lj c_coul
950000.000 51006.1797 200.656479 -195.422424 2449.29663 5244.39551 7693.69238 7548.32324 -2442.32422 -72.7343750 23370.3672 -17610.3535 0.949999988 0.954999983 0.912024975 -2369.58984 23370.3672
950200.000 51006.1797 202.322052 -322.682556 2469.62720 5266.36475 7735.99219 7495.95752 -2442.78247 -72.7343750 23366.6934 -17614.2559 0.949999988 0.954999983 0.912024975 -2370.04810 23366.6934
950400.000 51006.1797 202.102875 -27.8984470 2466.95215 5338.12598 7805.07812 7784.32520 -2424.91943 -72.7343750 23365.6992 -17611.0703 0.949999988 0.954999983 0.912024975 -2352.18506 23365.6992
950600.000 51006.1797 199.103607 129.390656 2430.34180 5302.48975 7732.83154 7829.08203 -2439.81445 -72.7343750 23386.2715 -17612.6016 0.949999988 0.954999983 0.912024975 -2367.08008 23386.2715
950800.000 51006.1797 199.720520 1197.44617 2437.87207 5311.00293 7748.87500 8639.62207 -2423.39917 -72.7343750 23367.6602 -17615.1680 0.949999988 0.954999983 0.912024975 -2350.66479 23367.6602
951000.000 51006.1797 204.013336 1236.00647 2490.27197 5325.12891 7815.40039 8734.83203 -2410.42920 -72.7343750 23376.1660 -17610.4004 0.949999988 0.954999983 0.912024975 -2337.69482 23376.1660
951200.000 51006.1797 196.293396 171.477066 2396.03906 5313.17578 7709.21484 7836.77197 -2425.14502 -72.7343750 23371.1504 -17609.6934 0.949999988 0.954999983 0.912024975 -2352.41064 23371.1504
951400.000 51006.1797 196.855606 475.632538 2402.90161 5362.96387 7765.86572 8119.67578 -2413.52686 -72.7343750 23383.8145 -17611.1074 0.949999988 0.954999983 0.912024975 -2340.79248 23383.8145
951600.000 51006.1797 201.745331 -97.2317810 2462.58765 5269.82666 7732.41406 7660.08643 -2465.03101 -72.7343750 23382.5586 -17609.9082 0.949999988 0.954999983 0.912024975 -2392.29663 23382.5586
951800.000 51006.1797 199.555176 131.840103 2435.85376 5270.68848 7706.54199 7804.61426 -2456.89697 -72.7343750 23397.5371 -17611.4766 0.949999988 0.954999983 0.912024975 -2384.16260 23397.5371
952000.000 51006.1797 201.798843 59.7133675 2463.24097 5332.10938 7795.35010 7839.76953 -2436.67090 -72.7343750 23382.1348 -17608.6074 0.949999988 0.954999983 0.912024975 -2363.93628 23382.1348
952200.000 51006.1797 198.262619 -61.0275993 2420.07617 5312.26074 7732.33691 7686.93994 -2441.67798 -72.7343750 23381.5117 -17611.7910 0.949999988 0.954999983 0.912024975 -2368.94360 23381.5117
952400.000 51006.1797 200.451752 101.252831 2446.79761 5249.45752 7696.25488 7771.57422 -2448.42480 -72.7343750 23377.7988 -17613.8008 0.949999988 0.954999983 0.912024975 -2375.69043 23377.7988
952600.000 51006.1797 200.388565 685.137207 2446.02637 5300.19141 7746.21777 8255.87305 -2453.95630 -72.7343750 23376.7285 -17611.9375 0.949999988 0.954999983 0.912024975 -2381.22192 23376.7285
952800.000 51006.1797 198.368484 327.360077 2421.36841 5346.05273 7767.42139 8010.93555 -2442.28271 -72.7343750 23385.5625 -17610.9629 0.949999988 0.954999983 0.912024975 -2369.54834 23385.5625
953000.000 51006.1797 201.994507 -231.393784 2465.62915 5347.23438 7812.86377 7640.73633 -2439.65381 -72.7343750 23375.7910 -17614.1953 0.949999988 0.954999983 0.912024975 -2366.91919 23375.7910
953200.000 51006.1797 199.605713 -182.073517 2436.47070 5291.97412 7728.44434 7593.00488 -2456.45020 -72.7343750 23401.5391 -17612.5938 0.949999988 0.954999983 0.912024975 -2383.71582 23401.5391
953400.000 51006.1797 200.040985 332.815186 2441.78369 5294.40869 7736.19238 7983.76465 -2441.31860 -72.7343750 23384.6328 -17611.7852 0.949999988 0.954999983 0.912024975 -2368.58398 23384.6328
953600.000 51006.1797 200.145447 832.128601 2443.05859 5333.12305 7776.18213 8395.17969 -2429.40381 -72.7343750 23403.0645 -17612.2383 0.949999988 0.954999983 0.912024975 -2356.66943 23403.0645
