Step Volume Temp Press KinEng PotEng TotEng Enthalpy E_vdwl E_tail E_coul E_long v_lbda v_scale_lj v_scale_coul c_lj c_coul
500000.000 51006.1797 200.752930 1976.69824 2450.47412 2726.27637 5176.75049 6647.16211 -1265.14221 -41.8889084 7906.01367 -5819.22559 0.500000000 0.550000012 0.302500010 -1223.25330 7906.01367
500200.000 51006.1797 202.225906 1799.48279 2468.45386 2676.47607 5144.92969 6483.51611 -1260.67859 -41.8889084 7910.24854 -5818.74951 0.500000000 0.550000012 0.302500010 -1218.78967 7910.24854
500400.000 51006.1797 198.772049 2102.46729 2426.29443 2751.39111 5177.68555 6741.65381 -1261.04858 -41.8889084 7907.77295 -5824.11230 0.500000000 0.550000012 0.302500010 -1219.15967 7907.77295
500600.000 51006.1797 205.709045 2641.90063 2510.97046 2762.33667 5273.30713 7238.54492 -1238.70569 -41.8889084 7906.02393 -5823.17480 0.500000000 0.550000012 0.302500010 -1196.81677 7906.02393
500800.000 51006.1797 197.886810 2348.24561 2415.48901 2723.71826 5139.20703 6886.00342 -1265.43420 -41.8889084 7913.18701 -5823.44824 0.500000000 0.550000012 0.302500010 -1223.54529 7913.18701
501000.000 51006.1797 201.509262 2308.69629 2459.70605 2734.02539 5193.73145 6911.10791 -1271.47168 -41.8889084 7910.09717 -5822.92383 0.500000000 0.550000012 0.302500010 -1229.58264 7910.09717
501200.000 51006.1797 199.169647 2466.11792 2431.14771 2742.77368 5173.92139 7008.39941 -1257.51611 -41.8889084 7895.97412 -5822.99219 0.500000000 0.550000012 0.302500010 -1215.62720 7895.97412
501400.000 51006.1797 198.077896 2553.84692 2417.82129 2749.00708 5166.82812 7066.56543 -1264.91272 -41.8889084 7916.12305 -5821.18896 0.500000000 0.550000012 0.302500010 -1223.02368 7916.12305
501600.000 51006.1797 199.396576 1708.93628 2433.91797 2747.56079 5181.47900 6452.70996 -1275.93787 -41.8889084 7913.22217 -5821.21338 0.500000000 0.550000012 0.302500010 -1234.04895 7913.22217
501800.000 51006.1797 194.722137 1594.99561 2376.85962 2709.51001 5086.36963 6272.84326 -1276.11609 -41.8889084 7900.99023 -5822.99316 0.500000000 0.550000012 0.302500010 -1234.22717 7900.99023
502000.000 51006.1797 198.977097 2148.72876 2428.79736 2719.38232 5148.17969 6746.56055 -1281.16248 -41.8889084 7908.87744 -5825.16602 0.500000000 0.550000012 0.302500010 -1239.27356 7908.87744
502200.000 51006.1797 199.923645 2889.86377 2440.35156 2703.55493 5143.90625 7293.59717 -1260.27246 -41.8889084 7911.43799 -5823.99365 0.500000000 0.550000012 0.302500010 -1218.38354 7911.43799
502400.000 51006.1797 204.479187 3179.55542 2495.95825 2720.97705 5216.93555 7582.12012 -1268.69836 -41.8889084 7910.33887 -5823.05664 0.500000000 0.550000012 0.302500010 -1226.80945 7910.33887
502600.000 51006.1797 202.468384 2307.57202 2471.41357 2753.73779 5225.15137 6941.69141 -1275.04004 -41.8889084 7928.75000 -5821.90625 0.500000000 0.550000012 0.302500010 -1233.15125 7928.75000
502800.000 51006.1797 197.899353 1947.74695 2415.64209 2747.88770 5163.52979 6612.40527 -1244.95496 -41.8889084 7914.17822 -5826.05420 0.500000000 0.550000012 0.302500010 -1203.06604 7914.17822
503000.000 51006.1797 199.998001 1284.42090 2441.25903 2723.56104 5164.81982 6120.26562 -1266.48560 -41.8889084 7901.91846 -5825.36279 0.500000000 0.550000012 0.302500010 -1224.59668 7901.91846
503200.000 51006.1797 203.494324 2915.23218 2483.93677 2745.09473 5229.03174 7397.59326 -1257.46558 -41.8889084 7905.39746 -5821.10352 0.500000000 0.550000012 0.302500010 -1215.57666 7905.39746
503400.000 51006.1797 197.857559 4081.23584 2415.13184 2700.45312 5115.58496 8151.50537 -1265.84900 -41.8889084 7907.92871 -5819.71533 0.500000000 0.550000012 0.302500010 -1223.96008 7907.92871
503600.000 51006.1797 199.481186 3552.12646 2434.95068 2738.90381 5173.85449 7816.18457 -1269.95801 -41.8889084 7903.92920 -5821.20117 0.500000000 0.550000012 0.302500010 -1228.06897 7903.92920
503800.000 51006.1797 201.583282 2347.33130 2460.60962 2748.52466 5209.13428 6955.25000 -1259.37671 -41.8889084 7907.09326 -5817.72754 0.500000000 0.550000012 0.302500010 -1217.48767 7907.09326
504000.000 51006.1797 195.013824 2349.02246 2380.42017 2698.22949 5078.64990 6826.02344 -1272.72266 -41.8889084 7916.43359 -5816.19141 0.500000000 0.550000012 0.302500010 -1230.83374 7916.43359
504200.000 51006.1797 199.103394 3175.93799 2430.33911 2748.54761 5178.88672 7541.38037 -1258.15723 -41.8889084 7910.89648 -5819.88965 0.500000000 0.550000012 0.302500010 -1216.26831 7910.89648
504400.000 51006.1797 198.094711 2179.79614 2418.02661 2767.10571 5185.13232 6806.62354 -1259.17554 -41.8889084 7909.45117 -5822.45996 0.500000000 0.550000012 0.302500010 -1217.28650 7909.45117
504600.000 51006.1797 194.377106 891.831970 2372.64795 2692.09180 5064.73975 5728.14941 -1268.81030 -41.8889084 7905.50732 -5821.61182 0.500000000 0.550000012 0.302500010 -1226.92139 7905.50732
504800.000 51006.1797 200.939957 1293.60217 2452.75708 2719.62036 5172.37744 6134.65283 -1278.01074 -41.8889084 7905.85986 -5821.65381 0.500000000 0.550000012 0.302500010 -1236.12195 7905.85986
505000.000 51006.1797 199.749435 2781.64331 2438.22510 2747.61670 5185.84180 7255.03027 -1252.96814 -41.8889084 7907.97119 -5823.14111 0.500000000 0.550000012 0.302500010 -1211.07935 7907.97119
505200.000 51006.1797 197.704697 2396.99268 2413.26611 2738.41040 5151.67627 6934.73438 -1260.93176 -41.8889084 7916.04102 -5819.86328 0.500000000 0.550000012 0.302500010 -1219.04285 7916.04102
505400.000 51006.1797 200.996414 2364.35181 2453.44604 2698.42822 5151.87451 6910.65137 -1257.93481 -41.8889084 7904.99463 -5819.70801 0.500000000 0.550000012 0.302500010 -1216.04590 7904.99463
505600.000 51006.1797 202.516525 2802.05981 2472.00122 2738.37744 5210.37842 7294.75439 -1263.52576 -41.8889084 7901.38330 -5821.29346 0.500000000 0.550000012 0.302500010 -1221.63684 7901.38330
505800.000 51006.1797 199.095978 2725.86011 2430.24854 2715.54346 5145.79199 7173.48535 -1271.38721 -41.8889084 7918.52686 -5820.46924 0.500000000 0.550000012 0.302500010 -1229.49829 7918.52686
506000.000 51006.1797 199.328934 2498.12769 2433.09229 2730.03760 5163.12988 7021.41895 -1265.34375 -41.8889084 7910.57520 -5823.24561 0.500000000 0.550000012 0.302500010 -1223.45496 7910.57520
506200.000 51006.1797 199.590668 2357.50122 2436.28711 2736.39062 5172.67773 6926.35889 -1250.17139 -41.8889084 7905.55420 -5824.31348 0.500000000 0.550000012 0.302500010 -1208.28235 7905.55420
506400.000 51006.1797 196.490524 1459.59924 2398.44531 2658.76440 5057.20996 6142.96631 -1269.13208 -41.8889084 7907.75098 -5825.20361 0.500000000 0.550000012 0.302500010 -1227.24316 7907.75098
506600.000 51006.1797 202.073624 1249.10962 2466.59497 2714.35132 5180.94629 6110.12500 -1261.57520 -41.8889084 7908.16406 -5824.14258 0.500000000 0.550000012 0.302500010 -1219.68628 7908.16406
506800.000 51006.1797 201.420746 2012.50684 2458.62549 2708.05981 5166.68555 6663.73438 -1260.74084 -41.8889084 7904.85889 -5823.56934 0.500000000 0.550000012 0.302500010 -1218.85193 7904.85889
507000.000 51006.1797 197.141525 2783.05542 2406.39185 2687.46265 5093.85449 7164.09375 -1282.52087 -41.8889084 7912.42578 -5820.40479 0.500000000 0.550000012 0.302500010 -1240.63196 7912.42578
507200.000 51006.1797 200.653091 4010.49097 2449.25537 2769.07129 5218.32666 8201.62207 -1247.16357 -41.8889084 7910.37012 -5824.21729 0.500000000 0.550000012 0.302500010 -1205.27466 7910.37012
507400.000 51006.1797 199.935654 2971.22729 2440.49805 2709.12231 5149.62061 7359.83545 -1260.84924 -41.8889084 7895.60400 -5825.89209 0.500000000 0.550000012 0.302500010 -1218.96033 7895.60400
507600.000 51006.1797 195.284775 2551.90088 2383.72754 2707.12524 5090.85303 6989.14258 -1259.02368 -41.8889084 7913.38232 -5824.86768 0.500000000 0.550000012 0.302500010 -1217.13477 7913.38232
507800.000 51006.1797 200.959381 2801.09814 2452.99390 2757.51050 5210.50488 7294.16553 -1240.25867 -41.8889084 7901.93701 -5824.24414 0.500000000 0.550000012 0.302500010 -1198.36975 7901.93701
508000.000 51006.1797 197.814865 2945.67407 2414.61084 2742.72192 5157.33301 7348.53955 -1268.25793 -41.8889084 7908.20361 -5822.41895 0.500000000 0.550000012 0.302500010 -1226.36902 7908.20361
508200.000 51006.1797 199.400635 2493.41431 2433.96729 2713.83081 5147.79785 7002.58057 -1257.10168 -41.8889084 7909.27100 -5822.79150 0.500000000 0.550000012 0.302500010 -1215.21277 7909.27100
508400.000 51006.1797 198.847153 2363.95410 2427.21118 2744.40430 5171.61572 6930.09668 -1258.18738 -41.8889084 7909.05566 -5822.98682 0.500000000 0.550000012 0.302500010 -1216.29846 7909.05566
508600.000 51006.1797 198.193176 3340.56860 2419.22852 2753.80640 5173.03467 7657.99268 -1255.02185 -41.8889084 7921.28467 -5824.25928 0.500000000 0.550000012 0.302500010 -1213.13306 7921.28467
508800.000 51006.1797 205.130585 3716.73657 2503.90942 2758.67114 5262.58057 8027.35986 -1249.94666 -41.8889084 7903.04346 -5826.02930 0.500000000 0.550000012 0.302500010 -1208.05774 7903.04346
509000.000 51006.1797 200.264145 2448.06055 2444.50781 2707.68213 5152.18994 6973.23535 -1253.59656 -41.8889084 7902.49170 -5826.68994 0.500000000 0.550000012 0.302500010 -1211.70764 7902.49170
509200.000 51006.1797 201.715408 1490.81104 2462.22241 2695.38623 5157.60889 6266.58252 -1274.69092 -41.8889084 7899.87793 -5824.67871 0.500000000 0.550000012 0.302500010 -1232.80188 7899.87793
509400.000 51006.1797 203.121017 2760.61060 2479.37988 2780.26880 5259.64893 7313.19189 -1251.83337 -41.8889084 7910.89062 -5824.36279 0.500000000 0.550000012 0.302500010 -1209.94446 7910.89062
509600.000 51006.1797 198.747864 2810.13989 2425.99927 2713.42358 5139.42285 7229.80957 -1269.16211 -41.8889084 7906.24561 -5824.14014 0.500000000 0.550000012 0.302500010 -1227.27319 7906.24561
509800.000 51006.1797 196.313034 2793.74536 2396.27881 2777.68188 5173.96045 7252.15186 -1246.48755 -41.8889084 7903.72900 -5824.64355 0.500000000 0.550000012 0.302500010 -1204.59863 7903.72900
