Step Volume Temp Press KinEng PotEng TotEng Enthalpy E_vdwl E_tail E_coul E_long v_lbda v_scale_lj v_scale_coul c_lj c_coul
555200.000 51006.1797 195.274353 3238.19092 2383.60034 2944.95679 5328.55713 7737.35938 -1390.95203 -45.3161812 9249.54883 -6816.74072 0.550000012 0.595000029 0.354025006 -1345.63574 9249.54883
555400.000 51006.1797 202.658752 2411.47241 2473.73730 2939.13257 5412.87012 7206.69873 -1395.82690 -45.3161812 9235.09961 -6818.66406 0.550000012 0.595000029 0.354025006 -1350.51074 9235.09961
555600.000 51006.1797 199.160507 1415.60706 2431.03613 2913.94458 5344.98047 6398.01221 -1387.49475 -45.3161812 9236.45215 -6818.02539 0.550000012 0.595000029 0.354025006 -1342.17859 9236.45215
555800.000 51006.1797 199.815857 1599.32654 2439.03589 2846.06592 5285.10156 6474.79736 -1416.19250 -45.3161812 9215.49609 -6821.14258 0.550000012 0.595000029 0.354025006 -1370.87634 9215.49609
556000.000 51006.1797 199.408722 2191.70215 2434.06592 2971.12354 5405.18945 7035.53711 -1398.91919 -45.3161812 9238.77148 -6820.73096 0.550000012 0.595000029 0.354025006 -1353.60303 9238.77148
556200.000 51006.1797 195.296356 1789.61206 2383.86890 2962.38110 5346.25000 6677.49365 -1388.77869 -45.3161812 9230.85449 -6818.54102 0.550000012 0.595000029 0.354025006 -1343.46252 9230.85449
556400.000 51006.1797 201.502945 1668.60095 2459.62891 2933.42163 5393.05029 6634.27734 -1411.84839 -45.3161812 9234.21582 -6816.78857 0.550000012 0.595000029 0.354025006 -1366.53223 9234.21582
556600.000 51006.1797 204.576202 1256.83264 2497.14258 2926.05225 5423.19482 6358.11865 -1392.60962 -45.3161812 9228.42188 -6816.66553 0.550000012 0.595000029 0.354025006 -1347.29346 9228.42188
556800.000 51006.1797 200.130524 1948.39246 2442.87671 2893.59131 5336.46777 6785.82422 -1416.64111 -45.3161812 9231.52148 -6819.39844 0.550000012 0.595000029 0.354025006 -1371.32495 9231.52148
557000.000 51006.1797 200.427460 2275.90088 2446.50122 2929.86865 5376.37012 7069.35059 -1397.61145 -45.3161812 9226.23340 -6822.21924 0.550000012 0.595000029 0.354025006 -1352.29529 9226.23340
557200.000 51006.1797 205.012009 2200.17920 2502.46216 2954.52979 5456.99170 7093.64551 -1403.15918 -45.3161812 9239.17773 -6817.99854 0.550000012 0.595000029 0.354025006 -1357.84302 9239.17773
