Step Volume Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long
1400200.00 48707.5234 4007.33521 2486.20190 1948.34045 7281.14990 1914.18115 -44.2615929 -7.97559500 269.280579 -190.859726
1400400.00 48707.5234 3715.42871 2407.41504 1964.38159 7011.04883 1921.18286 -35.3702507 -7.97559500 269.367798 -190.798859
1400600.00 48707.5234 2724.63379 2479.12939 1951.96680 6366.53809 1913.61646 -40.0193825 -7.97559500 269.172852 -190.803070
1400800.00 48707.5234 2958.10791 2378.45557 1924.91223 6404.65771 1896.68481 -50.3310165 -7.97559500 269.483704 -190.925369
1401000.00 48707.5234 3226.25024 2473.48315 1946.64795 6711.89551 1912.69800 -44.1724854 -7.97559500 269.022339 -190.899994
1401200.00 48707.5234 3504.88184 2418.37817 1988.06250 6896.13086 1954.62146 -44.9971275 -7.97559500 269.064331 -190.626114
1401400.00 48707.5234 3612.90015 2427.85669 1905.58630 6899.86377 1879.23352 -52.0007248 -7.97559500 269.072723 -190.719254
1401600.00 48707.5234 3596.87939 2462.62622 1996.09741 7013.76416 1967.52136 -49.9187202 -7.97559500 269.406433 -190.911697
1401800.00 48707.5234 3035.37134 2423.58398 1946.35339 6526.11133 1902.41321 -33.7397079 -7.97559500 268.912811 -191.232834
1402000.00 48707.5234 2516.51099 2445.66553 1956.63452 6189.90186 1917.41992 -39.0318031 -7.97559500 269.174500 -190.928146
1402200.00 48707.5234 3266.80005 2463.57031 1975.60132 6759.74072 1929.51904 -31.5639553 -7.97559500 268.772736 -191.126663
1402400.00 48707.5234 2550.02368 2391.51978 1961.22156 6164.14893 1927.36621 -43.4041977 -7.97559500 268.599152 -191.339478
1402600.00 48707.5234 3478.55469 2412.69360 2023.13306 6906.81543 1983.10938 -37.9913712 -7.97559500 269.159302 -191.144211
1402800.00 48707.5234 4136.25000 2447.46069 1886.92480 7272.56738 1849.76526 -41.0123901 -7.97559500 269.210754 -191.038773
1403000.00 48707.5234 3742.55249 2447.13428 1916.41101 7022.06494 1879.13354 -40.5100670 -7.97559500 268.920410 -191.132843
1403200.00 48707.5234 3106.50659 2421.34839 1978.95264 6607.00586 1944.06653 -42.4532547 -7.97559500 268.565979 -191.226685
1403400.00 48707.5234 3057.51123 2373.50952 1945.79126 6491.20166 1903.36694 -35.7685318 -7.97559500 269.296509 -191.103577
1403600.00 48707.5234 3874.29004 2451.48657 1948.24976 7151.83545 1915.48755 -45.3357925 -7.97559500 269.068176 -190.970184
1403800.00 48707.5234 2852.89648 2480.14673 1912.15002 6418.84961 1876.74402 -42.6358337 -7.97559500 268.856079 -190.814285
1404000.00 48707.5234 2218.67871 2400.82080 1925.81494 5902.67285 1893.39465 -45.6471786 -7.97559500 268.800354 -190.732819
1404200.00 48707.5234 4011.17358 2476.25635 1948.96814 7274.55859 1913.77869 -42.8428955 -7.97559500 268.908936 -190.876465
1404400.00 48707.5234 4026.33081 2407.22168 1974.97693 7242.29980 1934.51758 -38.2439537 -7.97559500 269.606873 -190.903564
1404600.00 48707.5234 3168.88647 2414.82397 1931.69470 6597.53516 1896.74988 -44.0012245 -7.97559500 269.776550 -190.830475
1404800.00 48707.5234 3236.88916 2465.85059 1946.73657 6711.90918 1906.17773 -38.1376495 -7.97559500 269.514587 -190.818008
1405000.00 48707.5234 4259.05322 2450.82886 1956.97754 7433.22168 1919.18579 -41.3771248 -7.97559500 269.899506 -190.730667
1405200.00 48707.5234 3461.43921 2418.60742 1907.11804 6784.55615 1872.30737 -44.0754929 -7.97559500 269.698578 -190.812363
1405400.00 48707.5234 2197.82349 2474.24121 1953.35144 5988.81494 1896.81641 -21.6523781 -7.97559500 269.051361 -190.864044
1405600.00 48707.5234 3112.96582 2432.57666 1956.53235 6600.40186 1921.83606 -43.0877800 -7.97559500 268.895874 -191.111847
1405800.00 48707.5234 3988.35010 2405.65015 1925.68994 7164.46143 1889.56946 -40.4412498 -7.97559500 267.700256 -191.138565
1406000.00 48707.5234 3510.64746 2461.88232 1961.95862 6917.62695 1927.88257 -43.2483635 -7.97559500 268.315552 -190.991257
1406200.00 48707.5234 2599.84131 2434.33057 1957.66467 6238.79053 1912.94153 -33.5675392 -7.97559500 269.148956 -190.858246
1406400.00 48707.5234 3069.90039 2429.93921 1890.98389 6501.62451 1867.32422 -54.3385773 -7.97559500 268.889435 -190.891098
1406600.00 48707.5234 4400.76270 2478.13696 1960.47375 7564.68896 1924.12183 -41.8077660 -7.97559500 269.065979 -190.906311
1406800.00 48707.5234 3470.49487 2357.74438 2010.50378 6833.51172 1962.32898 -30.1440010 -7.97559500 269.172974 -190.854218
1407000.00 48707.5234 3552.91016 2491.70728 1932.80518 6948.31982 1900.50427 -46.0346489 -7.97559500 269.365448 -191.029922
1407200.00 48707.5234 4463.93994 2474.71313 1961.93152 7607.60107 1920.62915 -37.4324913 -7.97559500 269.727722 -190.992935
1407400.00 48707.5234 4064.70410 2398.27905 1977.42444 7263.06299 1938.47754 -39.7340736 -7.97559500 269.479004 -190.798141
1407600.00 48707.5234 2385.18115 2456.72998 1948.13452 6099.17627 1923.09827 -53.6389847 -7.97559500 269.492950 -190.817719
1407800.00 48707.5234 2111.97949 2506.95923 1968.91760 5976.12012 1944.07141 -52.5032845 -7.97559500 268.550385 -191.200867
1408000.00 48707.5234 3449.65112 2404.09912 1965.18054 6819.73682 1922.94019 -35.0049858 -7.97559500 268.468292 -191.222885
1408200.00 48707.5234 3498.61328 2449.97437 1968.78564 6903.99707 1935.92346 -44.5298462 -7.97559500 268.606323 -191.214401
1408400.00 48707.5234 3073.05322 2512.67529 2019.52954 6715.14600 1968.45056 -25.7689972 -7.97559500 268.081543 -191.233688
1408600.00 48707.5234 3857.98535 2429.78369 1973.64136 7143.94189 1940.98096 -44.6504745 -7.97559500 268.498108 -191.187225
1408800.00 48707.5234 5220.15723 2446.83545 1911.77234 8066.74268 1877.59680 -42.6232224 -7.97559500 268.217316 -191.418564
1409000.00 48707.5234 4102.75635 2470.86230 1973.16162 7358.41357 1932.53320 -36.8739281 -7.97559500 268.621429 -191.119064
1409200.00 48707.5234 3031.50830 2421.48438 1922.82410 6497.73828 1880.40576 -34.8566132 -7.97559500 268.404968 -191.130142
1409400.00 48707.5234 2771.34766 2418.37915 1981.60889 6368.61279 1953.38354 -49.6415215 -7.97559500 268.885895 -191.018997
1409600.00 48707.5234 3742.63867 2446.33398 1948.95544 7053.87012 1915.37305 -44.0918655 -7.97559500 268.836578 -191.162170
1409800.00 48707.5234 2611.18262 2361.93188 1940.06409 6156.84766 1908.96326 -46.9487839 -7.97559500 268.938538 -190.888855
1410000.00 48707.5234 2848.24805 2476.56812 1949.62390 6449.44287 1918.30713 -46.5197983 -7.97559500 268.682312 -190.845657
1410200.00 48707.5234 3675.90771 2401.04761 1981.65796 6993.88379 1941.78406 -38.5030022 -7.97559500 269.151306 -190.774307
1410400.00 48707.5234 3460.88428 2459.20337 1919.36450 6837.00439 1890.26575 -49.0689087 -7.97559500 269.094818 -190.927246
1410600.00 48707.5234 3598.14941 2478.63745 1970.76123 7005.34131 1924.59009 -32.1579247 -7.97559500 269.303162 -190.974167
1410800.00 48707.5234 3436.22095 2410.59619 1916.53625 6768.04980 1887.78308 -50.2096367 -7.97559500 269.760010 -190.797134
1411000.00 48707.5234 3622.70752 2417.55420 1948.58130 6939.52295 1922.05701 -52.3229637 -7.97559500 269.492432 -190.645187
1411200.00 48707.5234 3439.03931 2472.82568 1956.86865 6872.61328 1934.05823 -55.5770836 -7.97559500 269.048218 -190.660721
1411400.00 48707.5234 3280.81860 2416.25171 1964.29297 6711.07178 1939.74146 -54.5578613 -7.97559500 269.847961 -190.738586
1411600.00 48707.5234 3864.61450 2358.85547 1906.29590 7010.37744 1887.98682 -59.9370079 -7.97559500 269.057373 -190.811234
1411800.00 48707.5234 3627.98145 2413.78491 1978.48096 6969.39990 1931.10925 -30.5605659 -7.97559500 268.796295 -190.864029
1412000.00 48707.5234 3823.20679 2507.71240 1954.97949 7178.50439 1915.77930 -38.8937912 -7.97559500 268.960693 -190.866745
1412200.00 48707.5234 2952.39355 2413.16870 1949.19141 6459.59082 1916.00024 -44.9113121 -7.97559500 269.073151 -190.970810
1412400.00 48707.5234 2248.56787 2426.13940 1976.96008 6000.36816 1937.94275 -38.8500061 -7.97559500 268.841217 -190.973907
1412600.00 48707.5234 3419.76538 2442.18262 1978.20105 6849.61133 1941.85803 -42.4344749 -7.97559500 269.617828 -190.840424
1412800.00 48707.5234 3948.90723 2440.78247 1952.31555 7198.20166 1928.77100 -55.3833122 -7.97559500 269.624268 -190.696350
1413000.00 48707.5234 2799.01221 2441.04321 1951.48901 6380.80859 1918.95422 -46.3980408 -7.97559500 269.558197 -190.625381
1413200.00 48707.5234 1839.42468 2470.55859 1987.45752 5764.64990 1954.79712 -45.8187256 -7.97559500 269.069275 -190.590134
1413400.00 48707.5234 2820.44556 2435.37305 1924.84534 6363.71973 1889.89124 -44.3366356 -7.97559500 269.752075 -190.461319
1413600.00 48707.5234 3171.14941 2454.09741 1938.90015 6645.62109 1911.39294 -51.1408539 -7.97559500 269.205475 -190.557449
1413800.00 48707.5234 2175.61743 2436.47119 1964.67310 5946.59229 1933.19275 -47.2914696 -7.97559500 269.381927 -190.610016
1414000.00 48707.5234 2189.92456 2419.56665 1972.40796 5947.58594 1930.19263 -36.0602150 -7.97559500 268.983643 -190.708145
1414200.00 48707.5234 3415.01782 2453.33179 1918.70190 6797.88916 1886.44543 -46.1256523 -7.97559500 269.357788 -190.975632
1414400.00 48707.5234 3110.11060 2464.00244 1993.95557 6667.22266 1953.75342 -38.1114883 -7.97559500 269.356049 -191.042389
1414600.00 48707.5234 1780.52234 2375.96411 1971.57056 5612.32715 1938.76758 -44.9389267 -7.97559500 268.944092 -191.202316
1414800.00 48707.5234 1963.51855 2441.25854 1964.81555 5800.85791 1931.80762 -44.7231026 -7.97559500 268.682312 -190.951355
1415000.00 48707.5234 3054.82153 2458.35132 1960.46265 6588.80420 1921.34546 -38.5949020 -7.97559500 268.636414 -190.924332
1415200.00 48707.5234 2208.13989 2387.12695 1912.23816 5867.91553 1883.57678 -48.9659691 -7.97559500 268.495789 -190.868423
1415400.00 48707.5234 1380.18811 2396.29639 1989.31787 5366.02979 1942.43506 -31.3546200 -7.97559500 269.011414 -190.774033
1415600.00 48707.5234 2630.13770 2516.42310 1914.50708 6299.24658 1882.11292 -46.0737305 -7.97559500 269.389404 -190.921387
1415800.00 48707.5234 3219.54321 2437.00659 1889.60522 6613.61182 1876.85571 -65.9147339 -7.97559500 269.584137 -190.919937
1416000.00 48707.5234 2001.20190 2451.03271 1930.82483 5803.40967 1905.95520 -53.2157860 -7.97559500 269.055084 -190.969711
1416200.00 48707.5234 1446.22534 2423.72119 2003.10181 5454.14844 1974.14246 -49.3226624 -7.97559500 269.238922 -190.957031
1416400.00 48707.5234 3361.07764 2419.94312 1953.51721 6760.99951 1912.25220 -36.8059998 -7.97559500 268.992096 -190.921112
1416600.00 48707.5234 3440.95874 2437.03540 1910.45203 6791.77002 1886.61719 -54.2480507 -7.97559500 269.065918 -190.983093
1416800.00 48707.5234 2797.01416 2421.10156 2006.03320 6413.99170 1968.30676 -40.7052116 -7.97559500 269.461853 -191.030319
1417000.00 48707.5234 3546.03271 2443.18579 1940.78650 6902.89404 1888.37195 -26.5614777 -7.97559500 269.738281 -190.762283
1417200.00 48707.5234 3300.04028 2474.77002 2012.38599 6831.33740 1973.85095 -40.6697617 -7.97559500 269.875397 -190.670547
