Step Volume Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long
1050200.00 49389.7578 -37137.8984 2400.68042 2763.49976 -21586.2109 2753.12720 -66.1375961 -7.86542606 267.382050 -190.872025
1050400.00 49389.7578 -36576.7695 2436.01782 2725.15405 -21185.0352 2727.40454 -78.1275558 -7.86542606 266.794922 -190.917892
1050600.00 49389.7578 -36515.1680 2458.75488 2737.07739 -21106.0059 2734.25684 -73.1003189 -7.86542606 266.798187 -190.877213
1050800.00 49389.7578 -36675.8711 2441.26660 2683.79102 -21292.5352 2683.17432 -75.5420609 -7.86542606 266.955597 -190.796906
1051000.00 49389.7578 -37076.2539 2429.88135 2759.23706 -21516.8672 2749.64404 -66.8700409 -7.86542606 267.237488 -190.774307
1051200.00 49389.7578 -36616.4219 2469.57690 2710.66602 -21194.5273 2702.55762 -67.8982697 -7.86542606 266.764557 -190.757874
1051400.00 49389.7578 -35927.5117 2452.25171 2723.01245 -20703.2832 2710.53931 -64.1331558 -7.86542606 267.304474 -190.698135
1051600.00 49389.7578 -35822.7539 2416.84326 2745.41138 -20640.8379 2738.46924 -70.0986862 -7.86542606 267.583954 -190.543060
1051800.00 49389.7578 -36440.8242 2404.82275 2706.86035 -21136.6055 2721.13794 -91.4157944 -7.86542606 267.801086 -190.662766
1052000.00 49389.7578 -36029.5430 2489.69287 2682.87720 -20779.4707 2679.93945 -73.9381561 -7.86542606 267.617096 -190.741165
1052200.00 49389.7578 -35728.5859 2419.54126 2714.86572 -20600.8555 2710.76782 -72.9018097 -7.86542606 267.648132 -190.648438
1052400.00 49389.7578 -35649.0938 2449.20947 2669.75562 -20559.0391 2651.83154 -59.8265724 -7.86542606 268.243317 -190.492676
1052600.00 49389.7578 -36773.7656 2463.15942 2787.72559 -21237.2188 2770.36719 -59.9190216 -7.86542606 267.798889 -190.521347
1052800.00 49389.7578 -36616.4414 2428.29150 2731.88110 -21214.6113 2710.90039 -56.9999580 -7.86542606 268.336792 -190.356247
1053000.00 49389.7578 -36645.0547 2431.07202 2730.93384 -21233.3867 2718.93408 -65.6475754 -7.86542606 267.851868 -190.204575
1053200.00 49389.7578 -37103.2422 2410.49097 2750.09302 -21564.8438 2739.95459 -66.9341431 -7.86542606 267.341705 -190.269302
1053400.00 49389.7578 -37031.2344 2442.68555 2753.10352 -21477.7695 2729.73730 -53.1132317 -7.86542606 266.815948 -190.336533
1053600.00 49389.7578 -36525.2305 2446.13550 2748.63354 -21114.3164 2734.28003 -63.3567543 -7.86542606 267.817322 -190.107025
1053800.00 49389.7578 -36694.8164 2401.79102 2745.11646 -21284.3281 2728.36011 -60.1625824 -7.86542606 267.228912 -190.309799
1054000.00 49389.7578 -36554.9922 2459.24780 2745.54517 -21125.7305 2732.08423 -63.0919113 -7.86542606 267.067169 -190.514328
1054200.00 49389.7578 -36392.6211 2420.04419 2705.82324 -21087.6973 2690.62891 -61.3594856 -7.86542606 267.137634 -190.583984
1054400.00 49389.7578 -36491.7695 2446.90161 2715.48462 -21122.5977 2719.56445 -80.5616150 -7.86542606 267.110291 -190.628433
1054600.00 49389.7578 -36537.8711 2438.77148 2777.62695 -21101.7930 2761.78735 -60.3974686 -7.86542606 266.898560 -190.661392
1054800.00 49389.7578 -36738.5977 2415.31006 2741.60498 -21305.8574 2718.19702 -52.7099304 -7.86542606 266.974792 -190.856903
1055000.00 49389.7578 -36263.9023 2460.41382 2735.73999 -20924.6973 2723.28394 -63.7144814 -7.86542606 266.919250 -190.748749
1055200.00 49389.7578 -36222.4922 2452.69141 2739.20972 -20899.1211 2733.14111 -69.8362427 -7.86542606 266.700958 -190.796173
1055400.00 49389.7578 -35923.4688 2393.36230 2733.02295 -20749.2500 2718.90552 -61.4047585 -7.86542606 266.417450 -190.895294
1055600.00 49389.7578 -36168.9375 2461.72388 2749.78931 -20840.9355 2727.87378 -54.3065910 -7.86542606 267.052002 -190.829773
1055800.00 49389.7578 -36212.3828 2419.31860 2684.43945 -20979.9805 2677.60840 -69.5046463 -7.86542606 267.285248 -190.949615
1056000.00 49389.7578 -35264.7461 2467.29614 2662.06714 -20271.7949 2658.74121 -72.5524368 -7.86542606 267.049347 -191.171097
1056200.00 49389.7578 -35297.1211 2470.01733 2681.69238 -20272.7695 2665.96484 -59.6276512 -7.86542606 266.460541 -191.105270
1056400.00 49389.7578 -35317.9883 2383.08740 2632.94189 -20423.4805 2628.95679 -71.3894043 -7.86542606 266.443726 -191.068985
1056600.00 49389.7578 -35599.8789 2396.60791 2706.05176 -20539.8965 2698.93750 -69.5343933 -7.86542606 267.631683 -190.982986
1056800.00 49389.7578 -36136.4609 2446.92261 2746.64624 -20835.4844 2731.31812 -60.2931061 -7.86542606 266.764221 -191.143005
1057000.00 49389.7578 -36856.6328 2452.65186 2693.86206 -21401.2793 2684.93506 -66.6099701 -7.86542606 266.621368 -191.084503
