Step Volume Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long
1350200.00 50078.2891 2498.32202 2420.69971 1859.77502 6105.10059 1870.12219 -88.7608185 -7.75728321 268.922791 -190.509155
1350400.00 50078.2891 1976.26306 2482.70825 1855.14270 5781.19580 1884.72095 -107.911102 -7.75728321 268.719513 -190.386642
1350600.00 50078.2891 2691.06104 2435.95679 1909.08362 6310.43164 1928.31384 -97.3668213 -7.75728321 268.833008 -190.696396
1350800.00 50078.2891 2667.84888 2392.72388 1890.17676 6231.33838 1908.64075 -96.6829453 -7.75728321 268.785461 -190.566528
1351000.00 50078.2891 2786.11011 2475.27979 1915.20544 6425.29443 1932.91980 -95.0341034 -7.75728321 268.115875 -190.796173
1351200.00 50078.2891 3122.35889 2477.95117 1852.54175 6610.87793 1875.45496 -99.9503784 -7.75728321 267.871124 -190.833954
1351400.00 50078.2891 3148.43188 2411.29492 1902.40796 6613.13037 1919.72009 -95.0021820 -7.75728321 268.530823 -190.840897
1351600.00 50078.2891 3107.58276 2426.90137 1918.50085 6614.99561 1935.24963 -94.7430420 -7.75728321 268.639923 -190.645660
1351800.00 50078.2891 2837.91309 2435.50317 1924.12805 6432.27393 1937.77551 -91.3843536 -7.75728321 268.307678 -190.570724
1352000.00 50078.2891 3101.41724 2445.31274 1899.62256 6610.02588 1909.92126 -87.7485275 -7.75728321 267.958069 -190.508194
1352200.00 50078.2891 4074.01025 2471.69263 1895.14539 7342.25293 1910.00208 -92.4757767 -7.75728321 268.323212 -190.704117
1352400.00 50078.2891 4041.76343 2430.55396 1897.88025 7280.29736 1904.88879 -85.4844742 -7.75728321 268.833374 -190.357437
1352600.00 50078.2891 3603.30249 2422.52637 1852.31323 6906.47705 1870.12915 -96.2746506 -7.75728321 268.864990 -190.406281
1352800.00 50078.2891 3052.52197 2466.25049 1917.89355 6613.52441 1928.79993 -89.6170807 -7.75728321 268.957367 -190.246704
1353000.00 50078.2891 2703.69800 2424.98804 1906.82275 6306.43066 1911.95715 -83.9888916 -7.75728321 269.020569 -190.166107
1353200.00 50078.2891 1658.09863 2385.96533 1875.22449 5472.16650 1899.57996 -103.273659 -7.75728321 269.219269 -190.301086
1353400.00 50078.2891 1982.84302 2478.19849 1882.80603 5809.15479 1896.00281 -91.7185516 -7.75728321 268.728302 -190.206467
1353600.00 50078.2891 2928.87158 2433.98706 1891.98352 6465.04395 1896.40723 -83.0031815 -7.75728321 268.932526 -190.353027
1353800.00 50078.2891 3209.61963 2438.56421 1875.24036 6657.91992 1893.79346 -96.9770126 -7.75728321 268.722412 -190.298325
1354000.00 50078.2891 3326.17871 2516.80884 1874.38843 6820.44043 1885.39771 -89.1171570 -7.75728321 268.467773 -190.359909
1354200.00 50078.2891 2355.90625 2447.88330 1877.60596 6046.10254 1891.64148 -92.1029205 -7.75728321 268.447083 -190.379761
1354400.00 50078.2891 2033.44641 2423.40991 1913.35400 5821.87207 1927.48096 -91.6206589 -7.75728321 267.888947 -190.395309
1354600.00 50078.2891 2829.57739 2467.28687 1938.77075 6472.61230 1944.43628 -83.6139526 -7.75728321 268.371155 -190.422836
1354800.00 50078.2891 2961.03101 2416.50439 1883.80750 6462.87305 1892.93652 -87.4391632 -7.75728321 268.675873 -190.365738
1355000.00 50078.2891 2456.31543 2430.60449 1913.27759 6137.82861 1921.68176 -86.3397446 -7.75728321 268.204620 -190.269043
1355200.00 50078.2891 2923.03833 2444.88428 1927.70618 6507.40381 1930.43774 -81.3857498 -7.75728321 268.863983 -190.209885
1355400.00 50078.2891 2718.19849 2475.23584 1870.80591 6331.25244 1884.25769 -92.0368729 -7.75728321 268.922546 -190.337494
1355600.00 50078.2891 2112.51270 2365.16577 1926.74597 5834.76514 1927.18774 -78.8776016 -7.75728321 268.922577 -190.486786
1355800.00 50078.2891 2018.75854 2476.80518 1904.93762 5856.12402 1924.30798 -97.2973022 -7.75728321 268.564575 -190.637665
1356000.00 50078.2891 2742.65869 2457.03076 1859.34839 6319.45361 1868.43152 -86.1249466 -7.75728321 267.794495 -190.752625
1356200.00 50078.2891 2552.32910 2452.08716 1865.40540 6181.56201 1880.51526 -92.6236877 -7.75728321 268.180847 -190.667053
1356400.00 50078.2891 2774.33838 2466.52539 1886.36780 6379.10498 1900.68115 -91.6280518 -7.75728321 267.914551 -190.599731
1356600.00 50078.2891 2540.99707 2393.50903 1875.09924 6124.40137 1886.06702 -88.4714813 -7.75728321 268.026917 -190.523239
1356800.00 50078.2891 2474.85596 2463.43506 1851.31555 6122.23779 1869.82141 -96.4150543 -7.75728321 268.485138 -190.575912
1357000.00 50078.2891 2185.43799 2466.17554 1890.94360 5953.23291 1903.23083 -90.4869995 -7.75728321 268.846985 -190.647217
1357200.00 50078.2891 2028.93384 2393.54419 1881.71582 5757.07227 1896.33459 -92.3802948 -7.75728321 268.421661 -190.660065
1357400.00 50078.2891 1678.64209 2426.86035 1906.95776 5559.79834 1923.40222 -94.5814362 -7.75728321 268.640198 -190.503204
