Step Volume Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long
1500200.00 48934.2344 20.4709187 2370.68188 1986.63550 4371.92676 1938.32727 -31.3523808 -7.93864393 269.977203 -190.316635
1500400.00 48934.2344 -922.933655 2448.96069 2002.56177 3792.86572 1944.42444 -20.8891087 -7.93864393 269.578552 -190.552078
1500600.00 48934.2344 -329.078552 2437.28418 1993.11328 4195.54883 1940.12793 -25.2856865 -7.93864393 269.138794 -190.867706
1500800.00 48934.2344 554.332764 2418.05103 1884.65247 4698.30615 1851.04834 -44.7348518 -7.93864393 269.164032 -190.825104
1501000.00 48934.2344 732.794678 2412.32520 1988.44495 4923.73340 1942.96985 -32.1288071 -7.93864393 268.690979 -191.087067
1501200.00 48934.2344 75.8618317 2471.51196 1988.54346 4514.19482 1947.42188 -36.1720200 -7.93864393 268.465759 -191.172134
1501400.00 48934.2344 67.6217346 2386.93652 1960.45642 4395.65186 1909.98035 -27.1665154 -7.93864393 268.718292 -191.075760
1501600.00 48934.2344 686.414001 2459.45898 1938.37634 4887.69873 1903.69727 -42.4967804 -7.93864393 268.178986 -191.003036
1501800.00 48934.2344 886.192810 2475.55347 1917.74194 5025.73193 1876.09924 -36.3015785 -7.93864393 268.921417 -190.977097
1502000.00 48934.2344 508.424438 2385.18408 1926.00745 4674.03174 1868.92542 -20.9765739 -7.93864393 269.089203 -191.030640
1502200.00 48934.2344 -73.1501312 2448.32446 1962.52197 4358.64258 1922.21057 -37.9714317 -7.93864393 269.235291 -190.952454
1502400.00 48934.2344 586.047668 2448.57471 1943.52710 4810.33789 1897.32983 -31.7276421 -7.93864393 268.958832 -191.033890
1502600.00 48934.2344 484.199921 2363.71680 1963.77881 4673.04736 1919.50977 -33.1797600 -7.93864393 268.541870 -191.093079
1502800.00 48934.2344 -2.12264752 2446.62183 1992.26025 4437.36719 1941.46057 -26.9679508 -7.93864393 269.020599 -191.253052
1503000.00 48934.2344 -387.769836 2421.14380 1978.69006 4123.09961 1928.67004 -27.1645451 -7.93864393 268.552032 -191.367432
1503200.00 48934.2344 126.851067 2377.31250 1915.31274 4383.15332 1866.31323 -28.4432449 -7.93864393 268.663330 -191.220398
1503400.00 48934.2344 111.389572 2393.60742 2002.12073 4475.22217 1967.40076 -42.6796227 -7.93864393 268.571899 -191.172287
1503600.00 48934.2344 181.282318 2423.05762 2009.06653 4561.49707 1963.08459 -31.4936466 -7.93864393 268.650452 -191.174896
1503800.00 48934.2344 444.145020 2421.13770 1964.81677 4702.92090 1935.83301 -48.9125977 -7.93864393 268.954315 -191.057938
1504000.00 48934.2344 1002.39752 2403.54688 1972.32275 5091.23633 1933.38025 -38.6740875 -7.93864393 268.716064 -191.099503
1504200.00 48934.2344 951.269470 2461.23608 1977.27307 5117.38770 1934.70142 -34.5693474 -7.93864393 268.343628 -191.202545
1504400.00 48934.2344 -12.4020214 2450.37866 1916.77734 4358.30518 1869.35071 -29.3836155 -7.93864393 268.107758 -191.297501
1504600.00 48934.2344 -776.984558 2392.72681 1965.02100 3803.24854 1933.01123 -45.3401031 -7.93864393 268.529480 -191.179596
1504800.00 48934.2344 10.3436737 2466.43506 1995.43604 4469.25293 1954.83533 -36.9340935 -7.93864393 268.563995 -191.029144
1505000.00 48934.2344 -562.935730 2429.48169 1957.97815 3985.71753 1917.48474 -37.1489944 -7.93864393 268.736053 -191.093750
1505200.00 48934.2344 -1087.26929 2453.77930 1966.17407 3644.01758 1925.85706 -36.9412308 -7.93864393 268.400238 -191.141968
