Step Volume Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long
1300200.00 50309.2031 -31190.7461 2444.29663 2530.27686 -17910.3301 2538.91431 -84.8970413 -7.72167826 266.730499 -190.471069
1300400.00 50309.2031 -30307.2305 2497.40283 2519.73389 -17219.5254 2523.28101 -78.9739685 -7.72167826 266.086456 -190.659805
1300600.00 50309.2031 -30646.4199 2464.71802 2531.75342 -17489.0547 2534.07568 -78.0304794 -7.72167826 266.375214 -190.666916
1300800.00 50309.2031 -32239.2266 2419.00317 2587.13062 -18648.0488 2588.70337 -77.6131439 -7.72167826 266.528107 -190.487793
1301000.00 50309.2031 -32635.0820 2455.76318 2636.29028 -18852.5723 2638.14429 -78.6639404 -7.72167826 267.093170 -190.283096
1301200.00 50309.2031 -32171.4453 2446.70483 2614.74585 -18543.0020 2610.05737 -71.7800522 -7.72167826 266.803284 -190.334564
1301400.00 50309.2031 -32951.7461 2432.67847 2590.54370 -19153.7402 2588.48340 -74.3458939 -7.72167826 266.611969 -190.205841
1301600.00 50309.2031 -33185.8906 2447.64307 2642.33447 -19258.7793 2643.93823 -78.2467194 -7.72167826 266.790222 -190.147263
1301800.00 50309.2031 -32110.5059 2418.93921 2624.89941 -18515.9004 2608.48804 -60.4422607 -7.72167826 266.950439 -190.096817
1302000.00 50309.2031 -31592.5449 2451.72192 2571.30493 -18156.6797 2565.83154 -71.9202957 -7.72167826 267.320221 -189.926498
1302200.00 50309.2031 -32467.6992 2383.98584 2588.72485 -18849.1035 2584.25513 -72.0511932 -7.72167826 266.674805 -190.153900
1302400.00 50309.2031 -32290.0195 2438.83984 2630.78003 -18621.8301 2629.19238 -75.1729279 -7.72167826 266.996063 -190.235352
1302600.00 50309.2031 -30983.9844 2401.78052 2578.33179 -17753.0879 2571.75366 -69.4570389 -7.72167826 266.635315 -190.600143
1302800.00 50309.2031 -31683.3359 2429.37671 2573.65479 -18243.2891 2577.93335 -80.3531952 -7.72167826 266.663055 -190.588516
1303000.00 50309.2031 -31949.9883 2478.80908 2602.19238 -18360.9648 2609.51172 -83.3610840 -7.72167826 266.583527 -190.541794
1303200.00 50309.2031 -30902.5488 2455.96680 2488.39307 -17729.0918 2501.90332 -90.7081070 -7.72167826 267.680908 -190.483093
1303400.00 50309.2031 -30970.4473 2465.64160 2534.89307 -17722.7344 2523.44214 -65.3312607 -7.72167826 267.382629 -190.600464
1303600.00 50309.2031 -31967.5117 2453.42651 2600.03076 -18401.3652 2595.87769 -72.3367157 -7.72167826 267.129303 -190.639465
1303800.00 50309.2031 -32234.5762 2454.31030 2582.31006 -18614.1504 2583.84082 -77.8783798 -7.72167826 266.808899 -190.461258
1304000.00 50309.2031 -31337.5781 2396.04248 2588.88647 -18007.7070 2575.41895 -63.2942123 -7.72167826 267.072510 -190.310913
1304200.00 50309.2031 -32124.1348 2519.55151 2592.94238 -18457.2441 2585.56372 -69.5317307 -7.72167826 267.171844 -190.261353
1304400.00 50309.2031 -33566.9141 2420.62915 2681.72241 -19525.9688 2678.81763 -74.1526566 -7.72167826 267.352905 -190.295364
1304600.00 50309.2031 -32701.4434 2417.95923 2603.76782 -18971.5879 2602.50586 -76.3198242 -7.72167826 267.782593 -190.200760
1304800.00 50309.2031 -31701.4023 2458.75488 2589.99121 -18210.8301 2593.51978 -81.2742767 -7.72167826 267.790253 -190.044464
1305000.00 50309.2031 -32407.1797 2492.53003 2568.91333 -18715.9688 2569.41479 -77.6022339 -7.72167826 267.072388 -189.971664
1305200.00 50309.2031 -33515.9453 2462.32397 2590.44702 -19538.1504 2593.61206 -80.5788879 -7.72167826 267.236084 -189.822433
1305400.00 50309.2031 -32473.2402 2443.96411 2670.86279 -18711.0547 2662.68140 -69.6205521 -7.72167826 267.756317 -189.954208
1305600.00 50309.2031 -32944.3633 2514.07690 2601.44800 -19056.0234 2608.59912 -83.7383881 -7.72167826 266.792786 -190.205597
1305800.00 50309.2031 -34513.5312 2421.11523 2685.64038 -20216.1016 2682.53833 -74.1690750 -7.72167826 267.250793 -189.979599
1306000.00 50309.2031 -33483.2812 2458.70459 2674.07690 -19434.1738 2664.11304 -67.4038849 -7.72167826 267.323059 -189.955078
1306200.00 50309.2031 -32140.6191 2477.89014 2597.79590 -18506.1465 2594.39136 -73.9840622 -7.72167826 267.264465 -189.875931
1306400.00 50309.2031 -32356.4004 2431.97461 2609.78076 -18698.3984 2603.48340 -71.3552475 -7.72167826 267.361633 -189.708893
1306600.00 50309.2031 -33292.5977 2455.83081 2655.32275 -19315.8945 2660.14429 -82.1829071 -7.72167826 267.201385 -189.840225
1306800.00 50309.2031 -31917.6426 2507.26172 2580.45483 -18330.5176 2580.02979 -77.9221191 -7.72167826 268.238464 -189.891251
1307000.00 50309.2031 -32187.8965 2417.90771 2573.80933 -18624.8047 2578.78662 -83.1057129 -7.72167826 268.036377 -189.907806
1307200.00 50309.2031 -33275.3086 2433.86963 2646.71118 -19333.7852 2650.05200 -80.9466248 -7.72167826 267.478516 -189.872406
1307400.00 50309.2031 -32726.3555 2467.58301 2620.27466 -18923.7344 2631.02515 -88.4964600 -7.72167826 267.506439 -189.760483
1307600.00 50309.2031 -32222.8262 2413.44604 2586.26318 -18642.4414 2588.54639 -79.0763397 -7.72167826 266.718903 -189.925995
1307800.00 50309.2031 -33696.8789 2493.72510 2672.06665 -19557.8828 2666.32104 -71.9654999 -7.72167826 267.483063 -189.771988
1308000.00 50309.2031 -33793.6055 2478.80615 2638.17700 -19677.6602 2631.02490 -70.0895996 -7.72167826 267.181763 -189.940277
1308200.00 50309.2031 -33012.6719 2431.23608 2640.11255 -19150.3164 2644.23877 -81.0358047 -7.72167826 267.073303 -190.163681
1308400.00 50309.2031 -33086.4141 2441.91309 2625.63550 -19208.2246 2627.74658 -78.7471848 -7.72167826 266.901672 -190.265686
1308600.00 50309.2031 -33606.7148 2425.09863 2633.80005 -19598.6211 2622.94067 -65.7760162 -7.72167826 267.022430 -190.387085
1308800.00 50309.2031 -32791.8633 2456.31689 2636.58154 -18966.7598 2635.71021 -75.8690186 -7.72167826 267.202484 -190.462189
1309000.00 50309.2031 -31792.7793 2466.55762 2592.50928 -18267.5547 2584.16187 -68.2856598 -7.72167826 267.038605 -190.405655
1309200.00 50309.2031 -31986.9062 2431.08252 2547.80518 -18490.1660 2554.62109 -83.2903366 -7.72167826 266.866455 -190.392166
1309400.00 50309.2031 -32998.6719 2419.84595 2653.75757 -19137.7910 2651.41504 -74.3687592 -7.72167826 267.143188 -190.431915
1309600.00 50309.2031 -33551.6602 2429.88745 2671.51611 -19515.7227 2662.75708 -67.6494522 -7.72167826 266.809235 -190.400604
1309800.00 50309.2031 -32697.0605 2454.81812 2581.94409 -18953.3359 2591.58496 -86.3967896 -7.72167826 267.062927 -190.306946
1310000.00 50309.2031 -32227.4844 2419.51782 2581.70825 -18644.3418 2577.25342 -72.2830582 -7.72167826 267.027313 -190.289444
1310200.00 50309.2031 -32886.0234 2482.82471 2627.54321 -19018.3730 2618.08301 -67.3534393 -7.72167826 267.028320 -190.214478
1310400.00 50309.2031 -32295.6699 2450.06567 2556.57983 -18688.9492 2563.76953 -83.6238174 -7.72167826 266.875946 -190.441681
1310600.00 50309.2031 -31577.6543 2446.90112 2589.14697 -18132.7324 2592.74414 -80.2759933 -7.72167826 267.211487 -190.532776
1310800.00 50309.2031 -32647.1074 2425.41455 2674.60596 -18853.4277 2672.46924 -74.2095566 -7.72167826 266.990448 -190.644257
1311000.00 50309.2031 -32693.7422 2419.26611 2596.17017 -18972.2285 2600.76318 -81.4056625 -7.72167826 267.479584 -190.666824
1311200.00 50309.2031 -32333.3125 2470.06763 2637.85254 -18615.2930 2638.34790 -77.5304489 -7.72167826 267.556885 -190.521835
1311400.00 50309.2031 -31740.4160 2424.02197 2631.28760 -18232.8926 2625.61401 -71.1653137 -7.72167826 267.521637 -190.682755
1311600.00 50309.2031 -32217.6367 2391.06030 2608.67969 -18638.6016 2610.65381 -78.5900803 -7.72167826 267.029327 -190.413406
1311800.00 50309.2031 -32230.5664 2472.58154 2651.67041 -18523.5762 2637.87305 -63.0382271 -7.72167826 267.092529 -190.257034
1312000.00 50309.2031 -32594.0195 2468.29224 2616.40234 -18829.8027 2612.54614 -72.0605087 -7.72167826 266.303406 -190.386734
1312200.00 50309.2031 -33455.4414 2381.20703 2683.42017 -19481.9023 2685.41992 -78.0014877 -7.72167826 266.447937 -190.446136
1312400.00 50309.2031 -33235.3008 2466.25757 2620.96631 -19297.7852 2622.08740 -77.1213455 -7.72167826 266.676697 -190.676285
1312600.00 50309.2031 -32791.4727 2464.67700 2689.93701 -18904.7559 2684.98682 -71.6414948 -7.72167826 267.169495 -190.577759
1312800.00 50309.2031 -32813.3008 2414.71118 2632.58984 -19028.0840 2634.16626 -78.3837357 -7.72167826 267.232422 -190.425079
1313000.00 50309.2031 -32695.1289 2423.21167 2616.87378 -18948.5957 2610.54248 -70.8552170 -7.72167826 267.377808 -190.191345
1313200.00 50309.2031 -32338.5664 2477.15088 2650.70825 -18599.2090 2635.79956 -62.0453262 -7.72167826 267.102448 -190.148346
1313400.00 50309.2031 -32465.7715 2449.05981 2601.39868 -18769.9414 2604.15015 -79.4393082 -7.72167826 266.766510 -190.078827
1313600.00 50309.2031 -32642.9238 2430.04175 2622.60669 -18897.7285 2608.14478 -62.1580582 -7.72167826 266.745239 -190.125107
1313800.00 50309.2031 -32449.8730 2491.29663 2665.28467 -18652.1543 2648.12280 -59.4200020 -7.72167826 266.721130 -190.139221
1314000.00 50309.2031 -31263.0859 2422.05957 2591.99146 -17923.9297 2577.61035 -62.4496880 -7.72167826 266.949493 -190.118698
1314200.00 50309.2031 -30959.7852 2477.80664 2517.52173 -17720.1172 2514.79077 -74.4173660 -7.72167826 267.187683 -190.039413
1314400.00 50309.2031 -31840.7754 2372.61133 2563.65430 -18425.5703 2560.10278 -74.0181427 -7.72167826 267.504395 -189.934753
1314600.00 50309.2031 -31691.1270 2506.87695 2540.46680 -18204.6934 2543.82373 -80.1130371 -7.72167826 266.941895 -190.185928
1314800.00 50309.2031 -31318.8848 2419.71704 2538.39209 -18020.8125 2532.24463 -70.5988388 -7.72167826 267.075165 -190.328857
1315000.00 50309.2031 -31404.3848 2473.43604 2553.33936 -18014.8770 2565.18896 -88.3194885 -7.72167826 266.886536 -190.416794
1315200.00 50309.2031 -32170.7988 2404.44141 2647.51489 -18552.0195 2641.35620 -69.9010468 -7.72167826 266.613098 -190.553162
1315400.00 50309.2031 -32373.3223 2371.02148 2534.52368 -18847.0254 2534.69751 -76.4914169 -7.72167826 266.822205 -190.504745
1315600.00 50309.2031 -32337.7637 2431.98413 2609.80542 -18684.6895 2605.34790 -72.8044891 -7.72167826 267.504120 -190.242065
1315800.00 50309.2031 -32069.9980 2460.03101 2607.26147 -18462.7246 2610.43848 -80.6385803 -7.72167826 267.836853 -190.375153
1316000.00 50309.2031 -32578.1328 2368.65161 2639.15991 -18895.0293 2631.79761 -70.4422073 -7.72167826 267.913269 -190.108795
1316200.00 50309.2031 -32962.3242 2466.79712 2673.96973 -19043.9590 2666.48950 -69.8628464 -7.72167826 267.563599 -190.220428
1316400.00 50309.2031 -31791.3086 2409.88232 2621.08740 -18294.5723 2610.95483 -67.2550735 -7.72167826 267.627167 -190.239670
1316600.00 50309.2031 -31317.0820 2437.66357 2576.89014 -17963.0449 2577.07520 -77.6093292 -7.72167826 267.516907 -190.092514
1316800.00 50309.2031 -31937.9570 2498.27490 2629.53198 -18305.3320 2625.08350 -72.7290115 -7.72167826 267.656250 -190.478806
1317000.00 50309.2031 -30861.5059 2423.95068 2531.35132 -17688.0352 2533.75854 -78.8679123 -7.72167826 266.909149 -190.448547
1317200.00 50309.2031 -29665.6211 2438.70850 2543.92090 -16783.2773 2526.64819 -59.1808281 -7.72167826 267.005859 -190.552277
1317400.00 50309.2031 -31591.8965 2436.84521 2616.29883 -18126.0879 2606.21338 -66.6003952 -7.72167826 267.330536 -190.644882
1317600.00 50309.2031 -32749.8848 2445.01367 2624.66089 -18959.1816 2621.96021 -74.1505203 -7.72167826 267.443542 -190.592361
1317800.00 50309.2031 -32408.1973 2424.26758 2621.07886 -18732.8125 2623.70850 -80.4199753 -7.72167826 268.015137 -190.224670
