Step Volume Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long
1250200.00 50078.2891 -32358.7266 2439.94849 2569.36108 -18623.5781 2576.59814 -83.4998398 -7.75728321 266.649109 -190.386353
1250400.00 50078.2891 -33233.7812 2450.11670 2594.49780 -19227.3613 2601.25000 -83.4887238 -7.75728321 266.986023 -190.249634
1250600.00 50078.2891 -32445.2168 2427.82910 2614.55859 -18653.6680 2615.44458 -78.0678787 -7.75728321 267.516418 -190.334778
1250800.00 50078.2891 -31602.3203 2436.78564 2570.52686 -18073.1426 2562.38672 -68.6455917 -7.75728321 267.186310 -190.400635
1251000.00 50078.2891 -32237.8418 2460.35352 2619.00513 -18465.2422 2606.27075 -65.0059128 -7.75728321 267.978699 -190.238525
1251200.00 50078.2891 -33012.7773 2436.39990 2603.26196 -19070.9062 2601.75903 -75.9432068 -7.75728321 267.634125 -190.187943
1251400.00 50078.2891 -32193.6680 2469.96265 2550.37158 -18492.0059 2554.35620 -81.4968414 -7.75728321 267.631561 -190.119278
1251600.00 50078.2891 -31666.1055 2444.46021 2641.67529 -18040.9023 2635.30835 -71.1882553 -7.75728321 267.607422 -190.052063
1251800.00 50078.2891 -32742.1191 2380.21460 2645.58325 -18887.0977 2636.45923 -68.5824814 -7.75728321 267.925385 -190.218887
1252000.00 50078.2891 -33472.5508 2430.39429 2665.89819 -19350.0645 2660.51807 -71.8275528 -7.75728321 267.590149 -190.382370
1252200.00 50078.2891 -32659.6016 2489.40649 2579.43384 -18783.7891 2584.40479 -81.5401230 -7.75728321 267.079193 -190.510132
1252400.00 50078.2891 -32741.8086 2413.72437 2593.00024 -18905.9434 2591.93481 -75.7621536 -7.75728321 267.327209 -190.499634
1252600.00 50078.2891 -34287.4375 2456.75757 2679.25513 -19905.4922 2668.13013 -66.0195847 -7.75728321 267.535248 -190.390686
1252800.00 50078.2891 -33212.0391 2436.79028 2635.64966 -19183.6582 2625.29883 -66.5147781 -7.75728321 267.200897 -190.335403
1253000.00 50078.2891 -32737.0781 2400.85962 2606.74609 -18901.6074 2596.44238 -66.0735397 -7.75728321 266.785950 -190.408585
1253200.00 50078.2891 -32748.7969 2415.97192 2546.53784 -18955.2617 2538.53711 -68.5635834 -7.75728321 266.926147 -190.361816
1253400.00 50078.2891 -32261.0449 2436.63379 2614.11499 -18510.7988 2606.58276 -69.5477600 -7.75728321 267.453888 -190.373917
1253600.00 50078.2891 -32039.6035 2460.17212 2557.81299 -18381.8340 2559.44727 -79.1082230 -7.75728321 267.983673 -190.509613
1253800.00 50078.2891 -32327.3242 2396.69141 2582.10156 -18631.1602 2585.91846 -80.3637390 -7.75728321 267.315765 -190.768906
1254000.00 50078.2891 -32778.6484 2438.89600 2650.92700 -18849.7520 2638.56641 -63.5877457 -7.75728321 266.664124 -190.715744
1254200.00 50078.2891 -32835.9023 2435.88062 2601.32788 -18944.1797 2608.19580 -83.9486008 -7.75728321 267.610687 -190.529785
1254400.00 50078.2891 -32301.7344 2402.88501 2547.45850 -18640.9219 2544.17334 -73.5176697 -7.75728321 267.475769 -190.672974
1254600.00 50078.2891 -32237.8965 2442.70728 2583.50610 -18518.4277 2579.89771 -73.6780472 -7.75728321 267.654388 -190.368134
1254800.00 50078.2891 -32667.2891 2467.70630 2658.21167 -18732.3262 2657.55908 -76.9767303 -7.75728321 267.881165 -190.251785
1255000.00 50078.2891 -33010.1328 2418.12134 2606.00415 -19084.5117 2611.01709 -81.7305984 -7.75728321 267.047394 -190.329773
1255200.00 50078.2891 -31841.0020 2461.18750 2559.76367 -18233.8203 2564.67676 -81.9018936 -7.75728321 267.271057 -190.282288
1255400.00 50078.2891 -32103.2012 2442.34497 2577.17383 -18426.7500 2578.73364 -78.1627426 -7.75728321 266.806671 -190.203690
1255600.00 50078.2891 -33060.1680 2386.87354 2619.74878 -19138.5586 2623.46411 -80.6781158 -7.75728321 267.128632 -190.165756
1255800.00 50078.2891 -32288.4453 2455.56592 2592.98145 -18533.0117 2579.01782 -63.2223587 -7.75728321 267.440094 -190.254105
1256000.00 50078.2891 -31638.1992 2450.65356 2568.35229 -18087.6523 2564.43042 -72.9431763 -7.75728321 267.373871 -190.508667
1256200.00 50078.2891 -31558.7422 2328.92822 2567.31299 -18152.3867 2565.22241 -74.6908951 -7.75728321 267.379639 -190.598175
1256400.00 50078.2891 -31636.4902 2446.01733 2561.23828 -18098.1523 2552.30200 -67.6815491 -7.75728321 267.219116 -190.601303
1256600.00 50078.2891 -31299.5234 2449.22534 2570.09473 -17839.9883 2566.97778 -72.8166046 -7.75728321 266.519958 -190.586456
1256800.00 50078.2891 -30674.4785 2435.54639 2454.12915 -17513.1387 2452.40698 -75.0319519 -7.75728321 267.129395 -190.375107
1257000.00 50078.2891 -32213.1191 2453.34668 2583.37622 -18489.8223 2584.90430 -78.2174683 -7.75728321 267.112396 -190.423065
1257200.00 50078.2891 -32367.0762 2448.67188 2586.13281 -18604.1816 2589.32104 -79.7313080 -7.75728321 266.947144 -190.404282
1257400.00 50078.2891 -32072.0059 2389.58179 2596.75122 -18437.1523 2599.49658 -79.3414383 -7.75728321 267.217010 -190.620773
1257600.00 50078.2891 -31878.9766 2424.40674 2603.10913 -18254.9922 2596.94434 -70.4365997 -7.75728321 267.077637 -190.476257
1257800.00 50078.2891 -31881.8730 2438.18042 2619.64575 -18226.7969 2622.09009 -78.8592758 -7.75728321 266.882996 -190.467987
1258000.00 50078.2891 -32213.2793 2378.74585 2636.48950 -18511.4277 2622.13721 -62.2342682 -7.75728321 266.760895 -190.174194
1258200.00 50078.2891 -32548.7520 2440.64111 2608.10376 -18722.9258 2606.96021 -76.0217056 -7.75728321 267.439240 -190.273804
1258400.00 50078.2891 -31706.3711 2502.86450 2596.27490 -18057.3086 2587.40698 -67.7252274 -7.75728321 267.024109 -190.431107
1258600.00 50078.2891 -31784.0430 2444.46533 2557.57544 -18211.1328 2557.49487 -75.7245865 -7.75728321 266.414856 -190.609818
1258800.00 50078.2891 -31832.5352 2381.16479 2614.21240 -18253.2109 2609.31763 -71.9151917 -7.75728321 267.466553 -190.656525
1259000.00 50078.2891 -31474.9824 2466.28076 2621.44580 -17899.7285 2619.40063 -74.6124649 -7.75728321 267.157776 -190.500076
1259200.00 50078.2891 -32041.9043 2419.66699 2594.53589 -18387.2969 2595.25659 -78.1492233 -7.75728321 267.863922 -190.435547
1259400.00 50078.2891 -32279.9375 2403.97095 2614.71094 -18556.6621 2611.52832 -74.3002853 -7.75728321 267.853058 -190.370041
1259600.00 50078.2891 -32542.1797 2454.12646 2670.35229 -18642.3926 2668.58960 -74.7550507 -7.75728321 267.129120 -190.611191
1259800.00 50078.2891 -32193.5527 2450.08789 2605.09912 -18457.0684 2613.68970 -84.4076233 -7.75728321 266.614410 -190.797394
1260000.00 50078.2891 -31739.3262 2443.85010 2546.41675 -18190.2480 2548.51343 -77.6416931 -7.75728321 266.391388 -190.846344
1260200.00 50078.2891 -32724.3555 2469.48682 2661.03833 -18769.3965 2658.74878 -73.4175034 -7.75728321 266.593018 -190.886002
1260400.00 50078.2891 -32692.9375 2427.55371 2629.77100 -18819.6504 2629.46631 -75.5253830 -7.75728321 266.632050 -190.801727
1260600.00 50078.2891 -32358.9883 2429.32861 2618.26709 -18585.4824 2627.55957 -84.9590759 -7.75728321 266.666565 -190.999893
