Step Volume Temp Press KinEng PotEng TotEng Enthalpy E_vdwl E_tail E_coul E_long v_lbda v_scale_lj v_scale_coul v_scale_gauss c_lj c_coul c_gauss
1000000.00 46478.4727 135.321747 2438.54443 2477.89209 1949.62036 4427.51270 6080.45752 -15.9135733 -8.35809422 269.445007 -191.583633 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 -7.55547857 269.445007 -2.38143301E-08
1000200.00 46478.4727 134.152374 3604.03052 2456.47949 2018.53845 4475.01807 6917.97705 27.8697186 -8.35809422 269.135162 -191.497375 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 36.2278137 269.135162 -2.43595988E-08
1000400.00 46478.4727 131.179276 3757.83521 2402.03906 1983.57727 4385.61621 6932.83057 -6.64188433 -8.35809422 268.955139 -191.435486 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 1.71621048 268.955139 -2.39297577E-08
1000600.00 46478.4727 134.830887 4043.87793 2468.90405 1953.69348 4422.59766 7163.70312 -2.06008410 -8.35809422 269.391785 -191.400742 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 6.29801083 269.391785 -2.30833699E-08
1000800.00 46478.4727 131.618576 3898.94189 2410.08301 2032.95154 4443.03467 7085.89648 -7.25478220 -8.35809422 269.079681 -191.426941 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 1.10331237 269.079681 -2.17672351E-08
1001000.00 46478.4727 132.841125 4535.56055 2432.46948 1980.53040 4412.99951 7487.38818 -11.0449858 -8.35809422 269.911987 -191.298264 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 -2.68689156 269.911987 -2.12154294E-08
1001200.00 46478.4727 134.841263 4080.63330 2469.09399 2003.89600 4472.99023 7239.00977 -2.50218129 -8.35809422 269.445251 -191.507828 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 5.85591316 269.445251 -2.17808154E-08
1001400.00 46478.4727 134.136490 3969.41431 2456.18872 1998.33362 4454.52246 7145.15381 4.62932777 -8.35809422 269.968658 -191.539215 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 12.9874220 269.968658 -2.29993216E-08
1001600.00 46478.4727 130.255997 4199.59229 2385.13257 1996.76978 4381.90234 7228.55762 -7.08129311 -8.35809422 269.527344 -191.447372 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 1.27680159 269.527344 -2.30492052E-08
1001800.00 46478.4727 132.270294 4913.22168 2422.01660 2023.43188 4445.44873 7775.83057 -11.6375360 -8.35809422 269.253235 -191.586990 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 -3.27944112 269.253235 -2.33702799E-08
1002000.00 46478.4727 133.506042 5255.06445 2444.64453 1983.70117 4428.34570 7990.44336 -9.45617104 -8.35809422 269.332001 -191.721252 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 -1.09807634 269.332001 -2.34406876E-08
1002200.00 46478.4727 137.517838 4890.97998 2518.10498 1995.29712 4513.40234 7828.70850 3.64119649 -8.35809422 269.865112 -191.784027 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 11.9992914 269.865112 -2.38225404E-08
1002400.00 46478.4727 132.411102 3745.53516 2424.59521 2039.32031 4463.91553 7002.79199 15.2688293 -8.35809422 269.326172 -191.574570 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 23.6269245 269.326172 -2.37168809E-08
1002600.00 46478.4727 131.917419 3109.84766 2415.55518 2018.94958 4434.50488 6542.48682 -17.2412605 -8.35809422 269.443268 -191.544235 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 -8.88316536 269.443268 -2.31320119E-08
1002800.00 46478.4727 132.230103 3867.74243 2421.28101 2033.85840 4455.13916 7076.85303 9.27663136 -8.35809422 269.253052 -191.688232 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 17.6347256 269.253052 -2.28398616E-08
1003000.00 46478.4727 133.766220 3318.21533 2449.40869 2040.48401 4489.89307 6739.11475 18.0191364 -8.35809422 269.244446 -191.532242 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 26.3772316 269.244446 -2.25598384E-08
1003200.00 46478.4727 131.687164 3101.61133 2411.33887 1970.39294 4381.73193 6484.13086 -2.59721041 -8.35809422 269.529327 -191.575363 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 5.76088428 269.529327 -2.33245068E-08
1003400.00 46478.4727 133.214951 3709.44995 2439.31445 1997.01575 4436.33008 6950.74707 -6.18122721 -8.35809422 269.226410 -191.719894 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 2.17686749 269.226410 -2.34290862E-08
1003600.00 46478.4727 138.239594 3864.29590 2531.32104 2035.80066 4567.12158 7186.49951 -1.20107710 -8.35809422 269.505371 -191.644867 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 7.15701771 269.505371 -2.33926425E-08
1003800.00 46478.4727 135.219482 4089.87158 2476.01953 1996.62256 4472.64209 7244.92432 0.348324984 -8.35809422 269.760162 -191.556122 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 8.70641994 269.760162 -2.34640751E-08
1004000.00 46478.4727 133.460220 3870.67993 2443.80542 1966.64734 4410.45264 7034.15771 -4.11937332 -8.35809422 269.752045 -191.459396 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 4.23872137 269.752045 -2.38224906E-08
1004200.00 46478.4727 134.578308 4028.33130 2464.27905 1975.09705 4439.37598 7169.94385 -15.6562595 -8.35809422 269.760437 -191.298157 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 -7.29816532 269.760437 -2.39016842E-08
1004400.00 46478.4727 135.392181 4728.76807 2479.18188 2023.16455 4502.34668 7707.69873 5.57961941 -8.35809422 269.932648 -191.411407 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 13.9377136 269.932648 -2.39591742E-08
1004600.00 46478.4727 132.081848 3621.05469 2418.56616 1971.02966 4389.59570 6844.09473 -16.7826004 -8.35809422 269.218079 -191.600052 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 -8.42450619 269.218079 -2.41591707E-08
1004800.00 46478.4727 133.515366 3327.88232 2444.81543 1983.93958 4428.75488 6684.52979 -2.90893793 -8.35809422 268.456543 -191.526276 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 5.44915676 268.456543 -2.34555486E-08
1005000.00 46478.4727 135.159744 3890.99902 2474.92603 2044.64709 4519.57324 7157.05127 4.89350510 -8.35809422 269.545380 -191.597900 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 13.2516003 269.545380 -2.40869049E-08
1005200.00 46478.4727 130.673264 3899.45093 2392.77319 1999.34277 4392.11621 7035.32324 6.10062075 -8.35809422 269.397705 -191.557953 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 14.4587154 269.397705 -2.51424197E-08
1005400.00 46478.4727 134.160095 3031.76831 2456.62109 2017.41064 4474.03174 6529.08789 10.3220921 -8.35809422 269.513336 -191.443008 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 18.6801872 269.513336 -2.43207428E-08
1005600.00 46478.4727 134.790543 2517.77417 2468.16528 1972.55737 4440.72266 6147.37305 -2.90212059 -8.35809422 269.072418 -191.706726 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 5.45597410 269.072418 -2.35316406E-08
1005800.00 46478.4727 130.620605 4139.50000 2391.80908 1985.99988 4377.80908 7183.73096 -3.39506364 -8.35809422 269.251068 -191.554169 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 4.96303082 269.251068 -2.29999078E-08
1006000.00 46478.4727 131.394547 5199.32373 2405.98096 2052.21582 4458.19678 7982.51074 10.5914660 -8.35809422 268.779022 -191.552902 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 18.9495602 268.779022 -2.31390516E-08
1006200.00 46478.4727 132.726105 4136.37305 2430.36304 2020.25659 4450.61963 7254.42236 -6.99716949 -8.35809422 268.972656 -191.431976 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 1.36092532 268.972656 -2.36568205E-08
1006400.00 46478.4727 134.419128 4292.51465 2461.36426 1938.68250 4400.04688 7309.68848 6.39341450 -8.35809422 269.480621 -191.778000 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 14.7515087 269.480621 -2.44739535E-08
1006600.00 46478.4727 130.815353 3835.73584 2395.37524 1949.61987 4344.99512 6945.01367 -17.3305626 -8.35809422 269.303162 -191.937225 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 -8.97246838 269.303162 -2.43825156E-08
1006800.00 46478.4727 133.740524 2928.16699 2448.93848 1973.80908 4422.74756 6407.57861 -14.5940056 -8.35809422 269.136932 -192.066345 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 -6.23591185 269.136932 -2.50185046E-08
1007000.00 46478.4727 135.880737 2982.10620 2488.12793 1968.03394 4456.16162 6477.55518 -22.1094456 -8.35809422 268.406647 -192.070602 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 -13.7513504 268.406647 -2.47537173E-08
1007200.00 46478.4727 132.932632 3505.04102 2434.14502 1923.77808 4357.92285 6733.78320 -27.3978558 -8.35809422 268.899384 -191.868774 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 -19.0397606 268.899384 -2.39194975E-08
1007400.00 46478.4727 133.357635 4054.31982 2441.92700 1981.20959 4423.13672 7171.32031 -15.8816566 -8.35809422 269.208618 -191.736755 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 -7.52356291 269.208618 -2.39053488E-08
1007600.00 46478.4727 133.731384 3725.37964 2448.77100 1977.81775 4426.58838 6951.80322 -5.48411179 -8.35809422 269.566986 -191.506683 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 2.87398267 269.566986 -2.38315057E-08
1007800.00 46478.4727 132.818054 3394.35352 2432.04688 1957.90625 4389.95312 6690.78467 -10.9668169 -8.35809422 269.420227 -191.453064 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 -2.60872293 269.420227 -2.38143194E-08
1008000.00 46478.4727 134.821182 4035.75952 2468.72632 2011.30530 4480.03174 7215.63428 -6.08260441 -8.35809422 269.418976 -191.335510 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 2.27549028 269.418976 -2.40772842E-08
1008200.00 46478.4727 130.142822 3556.41260 2383.06030 1992.68555 4375.74561 6786.42773 -1.12588477 -8.35809422 269.838074 -191.242157 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 7.23220968 269.838074 -2.39732358E-08
1008400.00 46478.4727 130.386932 2804.37231 2387.53052 2009.71655 4397.24707 6298.16504 -8.69156265 -8.35809422 269.800903 -191.107864 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 -0.333468527 269.800903 -2.40707649E-08
1008600.00 46478.4727 134.126282 3419.89453 2456.00195 2023.21008 4479.21191 6797.35596 18.7560215 -8.35809422 269.730865 -190.898560 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 27.1141167 269.730865 -2.41180711E-08
1008800.00 46478.4727 132.659317 4154.44727 2429.14014 2029.44153 4458.58154 7274.63574 -8.46576214 -8.35809422 269.842651 -190.810577 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 -0.107667617 269.842651 -2.44143870E-08
1009000.00 46478.4727 131.690857 3808.93188 2411.40649 1994.24939 4405.65576 6987.50537 -3.50294232 -8.35809422 270.076080 -190.675964 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 4.85515213 270.076080 -2.40579574E-08
1009200.00 46478.4727 134.608276 2844.74731 2464.82764 2012.39551 4477.22314 6405.50928 -4.00542542E-02 -8.35809422 269.231018 -190.996292 0.999899983 0.100000001 9.99999978E-03 2.19955998E-11 8.31803989 269.231018 -2.44507028E-08
