Step Volume Temp Press KinEng PotEng TotEng Enthalpy E_vdwl E_tail E_coul E_long v_lbda v_scale_lj v_scale_coul v_scale_gauss c_lj c_coul c_gauss
654600.000 46478.4727 134.049591 1748.02759 2454.59766 -699.533142 1755.06458 2939.94922 -2706.32544 -13.4636688 295.063782 -220.586884 0.649999976 0.161085397 1.13658374E-02 0.398523122 -311.228333 295.063782 -2381.63354
654800.000 46478.4727 132.710907 2025.84485 2430.08496 -715.171509 1714.91345 3088.11401 -2696.92944 -13.4636688 294.949768 -220.675446 0.649999976 0.161085397 1.13658374E-02 0.398523122 -305.265137 294.949768 -2378.20068
655000.000 46478.4727 135.053543 1803.22546 2472.98096 -791.897705 1681.08337 2903.38330 -2744.98267 -13.4636688 294.939362 -220.718933 0.649999976 0.161085397 1.13658374E-02 0.398523122 -329.365387 294.939362 -2402.15356
655200.000 46478.4727 131.411774 1382.81604 2406.29639 -747.236450 1659.05981 2596.38916 -2733.32544 -13.4636688 294.850647 -220.714874 0.649999976 0.161085397 1.13658374E-02 0.398523122 -322.241882 294.850647 -2397.61987
655400.000 46478.4727 135.052826 1210.89612 2472.96802 -699.681091 1773.28687 2594.08179 -2702.05420 -13.4636688 295.615906 -220.631714 0.649999976 0.161085397 1.13658374E-02 0.398523122 -314.624908 295.615906 -2373.96558
655600.000 46478.4727 134.503311 1327.49316 2462.90576 -737.890686 1725.01514 2624.84424 -2709.80957 -13.4636688 295.084991 -220.687866 0.649999976 0.161085397 1.13658374E-02 0.398523122 -309.005005 295.084991 -2387.34082
655800.000 46478.4727 131.607468 1140.32385 2409.87964 -774.240540 1635.63916 2408.59741 -2727.04980 -13.4636688 295.182434 -220.718277 0.649999976 0.161085397 1.13658374E-02 0.398523122 -322.292358 295.182434 -2391.29370
656000.000 46478.4727 131.734634 1539.33264 2412.20825 -682.329651 1729.87854 2773.30127 -2709.20557 -13.4636688 295.620209 -220.646210 0.649999976 0.161085397 1.13658374E-02 0.398523122 -327.738983 295.620209 -2368.00293
656200.000 46478.4727 133.569855 2443.60889 2445.81299 -652.952332 1792.86072 3449.23877 -2689.42358 -13.4636688 295.795898 -220.666870 0.649999976 0.161085397 1.13658374E-02 0.398523122 -305.646820 295.795898 -2370.31299
656400.000 46478.4727 132.203857 1552.73169 2420.80029 -733.682007 1687.11829 2739.62329 -2698.82251 -13.4636688 295.257721 -220.679916 0.649999976 0.161085397 1.13658374E-02 0.398523122 -309.931091 295.257721 -2375.42773
656600.000 46478.4727 132.574997 802.269470 2427.59619 -715.403503 1712.19275 2256.00391 -2732.22412 -13.4636688 295.020569 -220.691956 0.649999976 0.161085397 1.13658374E-02 0.398523122 -320.511749 295.020569 -2398.24878
656800.000 46478.4727 137.871353 1099.00500 2524.57812 -701.318420 1823.25977 2568.21021 -2705.18921 -13.4636688 295.455719 -220.642807 0.649999976 0.161085397 1.13658374E-02 0.398523122 -313.833069 295.455719 -2377.89233
657000.000 46478.4727 134.657455 1727.08923 2465.72852 -720.873352 1744.85498 2915.54663 -2704.84009 -13.4636688 295.267883 -220.572372 0.649999976 0.161085397 1.13658374E-02 0.398523122 -310.033661 295.267883 -2381.34277
